Question,A,B,C,D,E,index,Answer,explaination
" Four cardinal manifestations—arthralgias, diarrhea, abdominal pain, and weight loss are found in which of the following medical condition?",A. Abdominal angina,B. Celiac disease (Sprue),C. Malabsorption,D. Whipple disease,E. Tropical sprue,311.0,D. Whipple disease,"Whipple disease is a chronic multisystem disease resulting from infection with Tropheryma whipplei , a gram-positive rod shaped bacterium. The diagnosis is established by detecting the presence of Tropheryma whipplei  DNA in affected tissues by polymerase chain reaction. Whipple disease manifests primarily in the intestine and mesenteric lymph nodes, but can involve central nervous system, eye, heart, skin, and bone. Small bowel biopsy shows thickened villi distended with PAS- positive foamy macrophages."
 Failure of the lower esophageal sphincter to relax with swallowing is called as:,A. Achalasia,B. Gastroesophageal reflux disease,C. Pseudoachalasia,D. Esophageal spasm,E. Jackhammer (nutcracker) esophagus,312.0,A. Achalasia,"Achalasia is an esophageal motility disorder due to the degeneration of ganglion cells in the myenteric plexus. Achalasia causes a failure of relaxation of the lower esophageal sphincter and loss of peristalsis in the distal esophagus. The etiology of primary achalasia is unknown. The presentation of primary and secondary achalasia is identical and frequent symptoms are dys - phagia for solids and liquids and regurgitation of bland undigested food or saliva. Patients may also present with chest pain, heartburn, and difficulty belching. Achalasia carries an increased risk of squamous carcinoma."
 A 55-year-old male presented with a 6-month history of iron-deficiency anemia. Esophagogastroduodenoscopy (EGD) and colonoscopy were performed. Colonoscopy revealed a left sided polypoid colonic mass. Which of the following statements is most accurate regarding this kind of tumor?,A. Associated with carcinoid tumors,B. Most often presents in the left colon,C. Most patients have favorable prognosis,D. Associated with an overlying adenoma,E. Most cases are positive for TTF-1,313.0,D. Associated with an overlying adenoma,"Small cell carcinoma of the colon is frequently asso - ciated with an overlying adenoma, often villous/tubulo - villous (30–40% of cases). They are most often present in the right colon. Patients usually present with iron defi - ciency anemia due to occult blood loss. Right sided colon cancers grow as exophytic masses. The prognosis is poor due to early metastasis to lymph nodes and liver. Positive stains include neuron-specific enolase (84%), Synaptophysin (50%), chromogranin (37%), and CD56 (86%)."
 Which esophageal carcinoma presents mostly in the proximal-two third of the esophagus and frequently metastasizes to mediastinal lymph nodes?,A. Adenocarcinoma,B. Gastrointestinal stromal tumors,C. Squamous cell carcinoma,D. Leiomyosarcoma,E. Barrett esophagus,314.0,C. Squamous cell carcinoma,"Squamous cell carcinoma, accounts for the majority of cases of esophageal carcinoma. Approximately half of the esophageal squamous carcinomas occurs in the middle third; one-third on the lower esophagus; rest in the upper third. The major risk factors are cigarette smoking and alcohol use. Achalasia of the cardia is asso - ciated with a greater than 30-fold increase over the gen - eral population. Other risk factors are consumption of food rich in nitrates and nitrosamines. Plummer–Vinson syndrome, p53 point mutations may be present in over half of esophageal cancers. Other mutations such as mutation in p16, k-ras, and APC mutations may be found in these cancers. Patients present late with dysplasia. Grossly, there may be fungating masses, malignant ulcers or diffusely infiltrative lesions that are obvious at endoscopy. Diagnosis is done by biopsy."
 Which is true for sessile serrated (SSA) polyp?,A. Usually less than 1 mm in size,B. More common in the left colon,C. Always have cytological features of at least low- grade dysplasia,D. Commonly have a high prevalence of KRAS mutations,E. Associated with increased risk for colon cancer,315.0,E.  Associated with increased risk for colon,"cancer Sessile serrated adenoma (SSA) polyps can be found in any region of the colon and rectum but are more fre - quently found in the right colon. Most of the polyps are larger than 5  mm. Specific morphological features in sessile serrated polyps include expanded crypt prolifera -92 tion zones, crypt basilar dilation, and decreased or absent cell maturation along the length of the crypt. 80% may demonstrate BRAF mutations."
 Which of the following bacterial infections can histo - logically mimic ischemic colitis?,A. Enteroadherent Escherichia coli,B. Salmonella typhimurium,C. Clostridium difficile,D. Vibrio cholerae,E. Yersinia pseudotuberculosis,316.0,C. Clostridium difficile,"Bacterial infections of the gastrointestinal tract may histologically mimic inflammatory bowel diseases and ischemic colitis. Enterohemorrhagic E. coli , Clostridium difficile , and Clostridium perfringens  are most com - monly associated with an ischemic pattern of injury."
 Which of the following statements is most accurate regarding collagenous colitis?,A. Often presents with bloody diarrhea,B. Associated with autoimmune diseases,C. Neutrophils are prominent feature,D. Colonoscopic examination is often abnormal,E. Increased prevalence in men and smokers,317.0,B. Associated with autoimmune diseases,"Collagenous colitis is characterized by patch thicken - ing of the subepithelial basement membrane. This con - dition is associated with some autoimmune diseases such as celiac sprue and autoimmune gastritis. It has increased prevalence in women and smokers, and often presents with watery diarrhea."
"A middle-aged alcoholic man presents in the emergency department with nose bleed. Examination shows dis - tended paraumbilical veins, ascites, and a flapping hand tremor on wrist extension. Which laboratory finding is the best indicator of poor prognosis in this alcoholic patient?",A. Elevated level of serum glutamic oxaloacetic trans - aminase (SGOT),B. Elevated level of serum glutamic pyruvic transami - nase (SGPT),C. Prolonged prothrombin time,D. Elevated level of gamma-glutamyl transferase (GGT),E. Elevated level of alkaline phosphatase,318.0,C. Prolonged prothrombin time,"Indicators of liver function are prothrombin time, hypoalbuminemia, and bilirubin. Laboratory findings in cirrhosis are elevated bilirubin, hypoalbuminemia, and elevated prothrombin time (PT). These findings are signs of inadequate liver function resulting in poor prognosis in cirrhotic patients. Partial thromboplastin time (PTT), PT, and INR are tests for identifying and monitoring coagulopathy. A high prothrombin time (PT) signifies serious liver damage and is an important prognostic indi - cator in patients with cirrhosis."
Which of the following drug causes hepatocellular necrosis with inflammation?,A. Acetaminophen,B. Diclofenac sodium,C. Ibuprofen,D. Acetylsalicylic acid,E. Sucralfate,319.0,A. Acetaminophen,"Acetaminophen is safe when taken at therapeutic doses which is usually 4000 mg every day in 24 h. Overdose of acetaminophen causes hepatocellular necrosis with inflammation which sometimes can be fatal. Factors which influence hepatotoxicity include chronic alcohol ingestion, malnutrition, older age, genetic polymorphisms and medications that affect CYP2E1 enzyme."
"A 10-year-old male child comes to the pediatrician office with symptoms of yellow appearance of the skin and sclera, foul-smelling, pale stools, poor weight gain, enlarged abdomen, loss of appetite. His father died of liver cirrhosis. Physical examination shows hepatomeg - aly. What is the diagnosis?",A. Chronic viral hepatitis,B. Alpha-1 antitrypsin deficiency,C. Gilbert’s syndrome,D. Crigler–Najjar syndrome,E. Dubin–Johnson syndrome,320.0,B. Alpha-1 antitrypsin deficiency,Alpha-1 antitrypsin (AAT) deficiency is a protein- folding disorder because of the deficiency of a serine protease inhibitor in which improper folded AAT pro -teins aggregate in the hepatocytes. There are hepatic changes due to inflammation and fibrosis. Patients expe - rience hepatomegaly and cirrhosis. There is an increased risk of hepatocellular carcinoma. AAT deficiency leads to alveolar destruction and predisposes patients to pan - acinar emphysema in adults prior to age 50 years.
LDH 5 is found in which of the following organ?,A. Kidney,B. Heart,C. Liver,D. Prostate,E. Brain,321.0,C. Liver,There are different isoenzymes of LDH (LDH-1 to LDH-5). LDH-4 and LDH-5 are found in liver and skel - etal muscle. Laboratory findings of LDH-5 greater than LDH-4 indicate that there is liver damage which may include cirrhosis and hepatitis.
"A 45-year-old woman presents with symptoms of pruritus, fatigue, right upper quadrant pain, recurrent cholangitis, and symptoms of portal hypertension. Laboratory findings show elevated alkaline phosphatase. Cholangiogram shows evidence of characteristic bile duct changes (multifocal strictures, segmental dilations). What is the diagnosis?",A. Primary sclerosing cholangitis (PSC),B. Abdominal vascular Injuries,C. Acalculous cholecystitis,D. Autoimmune hepatitis,E. Cholangiocarcinoma,322.0,A. Primary sclerosing cholangitis (PSC),"Primary sclerosing cholangitis (PSC) is common in males between 25 and 60 years range. Laboratory diag - nosis shows an elevated alkaline phosphatase. There is progressive fibrosis of both intra and extrahepatic bile ducts. The multifocal beading pattern of biliary stric - tures seen on ERCP is diagnostic. Histologically, liver biopsy shows a mixed inflammatory infiltrate with “onion-skinning” of interlobular bile ducts, and bile ductular proliferation. Majority of patients are associ - ated with ulcerative colitis. There is also an increased incidence of cholangiocarcinoma. Certain HLA haplo - types, HLA-B8, and HLA-DR3 have been associated with PSC. There are no effective pharmacologic treat - ments, and most patients will need a liver transplant."
Gross picture of a specimen is shown below. What is the diagnosis?,A. Hemochromatosis,B. Metastatic liver disease,C. Fatty metamorphosis,D. Micronodular cirrhosis,E. Metabolic liver disease  94,323.0,B. Metastatic liver disease,"Metastatic liver disease is the most common neo - plasm of the liver in adults. It is more common than hepatocellular carcinoma. Common primary sites are colon, breast, lung, pancreas, and ovary. Patients usually present with hepatomegaly. Imaging studies show mul - tiple hypodense masses."
A 50-year-old woman presents with increasing abdomi - nal girth and enlarging liver. Laboratory findings show elevated Alpha-fetoprotein in the serum. What is the diagnosis?,A. Serous papillary cystadenocarcinoma,B. Metastatic gastric adenocarcinoma,C. Hepatocellular carcinoma,D. Pancreatic carcinoma,E. Endometrial carcinoma,324.0,C. Hepatocellular carcinoma,Hepatocellular carcinoma (HCC) is common in older patients with a history of cirrhosis or infection with Hepatitis B or C. HCC mimics normal liver cells. There may be a trabeculae-cord like pattern or pseudo glands with a single layer of tumor cells and dilated bile cana - liculi. Tumor cells are polygonal with eosinophilic cyto - plasm. They show mild atypia and a higher nuclear to  98 cytoplasmic ratio. Alpha-fetoprotein is a common marker for HCC and serum values are elevated.
"What would be expected to be seen microscopically in a liver biopsy from a patient with typical acute hepatitis, if the biopsy was taken during the icteric phase?",A. No pathologic changes,"B. Mononuclear inflammatory cells, ground glass hepa - tocytes and bridging necrosis","C. Mononuclear inflammatory cells, swollen hepato - cytes, and bile plugs in canaliculi","D. Mononuclear inflammatory cells, especially a prom - inent Kupffer cell reaction",E. Mononuclear inflammatory cells and piecemeal necrosis,325.0,"C.  Mononuclear inflammatory cells, swollen","hepatocytes, and bile plugs in canaliculi Viral hepatitis is caused by different hepatotropic. Most common of these viruses are Hepatitis A, Hepatitis B, and Hepatitis C. Common clinical manifestations are nausea, malaise, abdominal pain, and jaundice. The clin - ical course is usually similar in acute hepatitis caused by different hepatotropic viruses."
"A 52-year-old woman with a history of autoimmune thy - roid disease (Hashimoto’s thyroiditis) presents with severe pruritus, especially at night. Laboratory investi - gations show elevated alkaline phosphatase. What is the diagnosis?",A. Alcoholic hepatitis,B. Hemochromatosis,C. Primary biliary cholangitis,D. Hepatitis C,E. Hepatitis A,326.0,C. Primary biliary cholangitis,"Primary biliary cholangitis (PBC) is commonly seen in middle-aged females between the ages of 40 and 60 years. PBC is an autoimmune disease due to autoim - mune destruction of the intrahepatic bile ducts and cho - lestasis. Clinical manifestations include severe pruritus (may be severe at night), hepatosplenomegaly, and xan - thomatous lesions in the eyelids or in the skin. Laboratory findings show elevated alkaline phosphatase. 80–90% of the patients have AMA (anti-mitochondrial antibodies) in the serum. Cholangiopancreatography shows bile duct wall thickening, and dilatation of intra- and extra - hepatic bile ducts. Primary biliary cholangitis (PBC) is similar to primary biliary cirrhosis (PBC) with common clinical manifestations. Associated autoimmune dis - eases such as Hashimoto’s thyroiditis, Sjogren syn - drome, scleroderma, and Raynaud’s syndrome may be present. Primary biliary cholangitis (PBC) is a premalig - nant condition."
 Distant organ metastases in esophageal cancer is com - mon in which of the following organ?,A. Liver,B. Lung,C. Bone,D. Brain,E. Breast,327.0,A. Liver,"Liver is a common site of metastatic spread after lymph nodes. Most of the metastasis in liver originate from colon, pancreas, stomach, esophagus, breast, lung, gallbladder, uterus, kidney, melanoma, and urinary blad - der. Clinically, hepatomegaly is the most common find - ing besides signs and symptoms attributable to cancer in general and to the primary cancer. Jaundice occurs when the biliary system is invaded or obstructed. Ascites may form a non-specific late event. Unlike in HCC, the liver usually is not cirrhotic, and signs caused by portal hyper - tension are absent. For diagnosis, there is an increasing list of tumor markers, such as CEA, CA19–9, CA175, AFP. Perhaps CEA is the most frequently tested, and it is useful not only in disease diagnosis but also in the assessment of therapy and progression of disease."
" A middle aged man with a history of abdominal swelling and pain, swelling in the legs and ankles, chronic fatigue, nausea, and vomiting. Histological picture is shown below. What is the diagnosis?",A. Chronic viral hepatitis,B. Metabolic liver disease,C. Alcoholic fatty liver,D. Hemochromatosis,E. Hepatocellular carcinoma,328.0,C. Alcoholic fatty liver,"Alcoholic fatty liver is associated with significant drinking history. Laboratory findings show AST:ALT greater than 2:1. In alcoholic fatty liver, there is deposi - tion of fat in hepatocytes, which is particularly seen in centrilobular region. Light microscopy shows macrove - sicular steatosis, ballooned hepatocytes, and Mallory bodies. Mallory bodies are damaged cytokeratin fila - ments and are seen as eosinophilic inclusions within the hepatocytes."
 Gross pictures of liver of middle aged male are shown below. What is the diagnosis? 12 Liver and Biliary Tract 95,A. Cirrhosis of liver,B. Hemangioma of liver,C. Cholangiocarcinoma of liver,D. Angiosarcoma of liver,E. Metastatic tumors to the liver,329.0,A. Cirrhosis of liver,"Cirrhosis is a chronic disease of the liver in which destruction with the regeneration of liver cells occurs. There is a diffuse increase in fibrous tissue that leads to disorganization of the lobular architecture. Clinically, this leads to portal hypertension and complications depending on the stage of disease. Patients with cirrhosis show triad of parenchymal necrosis, regeneration, and scarring. Infiltration of portal zones with leukocytes, mononuclear cells, or plasma cells may represent inflam - mation associated with initial injury, a response to con - tinued necrosis, or part of the reparative process. The morphological classification characterizes the gross appearance of the liver (micronodular, macronodular and mixed cirrhosis). Micronodular cirrhosis is charac - terized by the uniformity of the size of the nodules, vir - tually all of which are less than 3 mm in diameter. These micronodules lack a normal lobular organization and are surrounded by fibrous tissue. In micronodular cirrhosis, there is variation in nodular size, but most nodules are greater than 3 mm in diameter."
 Which of the following hepatitis viruses are responsible for hepatocellular carcinoma?,A. Hepatitis A (HA V),B. Hepatitis B (HBV),C. Hepatitis C (HCV),D. Hepatitis D (HDV),E. Hepatitis B (HBV) and Hepatitis C (HCV),330.0,E. Hepatitis B (HBV) and Hepatitis C (HCV),"HCC (Hepatocellular carcinoma) is a malignant tumor of the liver. Numerous epidemiological and biological studies have suggested an important role of HBV infection in hepatocarcinogenesis. HCV is transmitted not only by blood transfusion but also by poorly understood routes and causes chronic hepati - tis. In due course of time, cirrhosis develops in such patients with significant risk of hepatocellular carci - noma (HCC)."
 Which of the following virus that replicates only in HBV-infected cells?,A. Hepatitis A,B. Hepatitis C,C. Hepatitis D (Delta agent),D. Hepatitis E,E. Epstein-Barr,331.0,C Hepatitis D (delta agent),"HDV is recognized as a distinct, defective, but highly infectious hepatitis agent. HDV antigen could be identi - fied in the hepatocytes of patients with chronic hepatitis B suggest an intimate linkage of HDV and HBV . Hepatitis D virus (HDV) is a defective, pathogenetic RNA virus, which requires Hepatitis B virus to complete its cycle in human liver cells. It causes symptoms only in hepatitis B positive persons."
" A 40-year-old female patient comes to the physician office with symptoms of fever, nausea, vomiting, pain in the upper right side of the abdomen. Physical examina - tion shows right upper quadrant tenderness on palpation. Laboratory investigations showed leukocytosis. What is the diagnosis?",A. Acute cholecystitis,B. Chronic cholecystitis,C. Ascending cholangitis,D. Acute pancreatitis,E. Chronic pancreatitis,332.0,A. Acute cholecystitis,"The common complication of cholelithiasis is acute cholecystitis (AC). 90–95% of acute cholecystitis is due to cholelithiasis. Acalculous cholecystitis is an acute inflammation without gallstones accounts for 5–10% of the cases. Patients present with fever, nausea, vomiting, and pain in the upper right side of the quadrant. Laboratory findings show leukocytosis and mild elevations in liver function tests. Acalculous cholecystitis is common in critically ill patients. Common causes are sepsis, severe burns, immunosuppression, burns, and trauma. Acute cholecystitis may require emergency surgery."
 Microscopic findings of chronic inflammation and Rokitansky–Aschoff sinuses are found in which of the following medical conditions?,A. Acute cholecystitis,B. Chronic cholecystitis,C. Ascending cholangitis,D. Acute pancreatitis,E. Chronic pancreatitis,333.0,B. Chronic cholecystitis,"Chronic cholecystitis causes thickening of gallblad - der due to repeated attacks of acute cholecystitis. Ultrasound shows shrunken, fibrosed gallbladder. Light microscopy shows varying degree of mucosal inflamma - tion, subepithelial and subserosal fibrosis. Rokitansky- sinuses (glandular structures deep in the wall) may be present. Porcelain gallbladder is associated with chronic cholecystitis and may be detected on abdominal imaging as a rim of calcium deposits outlining the bladder. There is an increased risk of gallbladder carcinoma in patients with porcelain bladder."
 A 30-year-old woman presents with sudden onset of severe abdominal pain. She is using oral contraceptives regularly. Ultrasound of abdomen shows a small hepatic mass. What is the diagnosis?,A. Focal nodular hyperplasia,B. Hepatic adenoma,C. Nodular regenerative hyperplasia,D. Adenomatous hyperplasia,E. Cavernous hemangioma,334.0,B. Hepatic adenoma,"Liver cell adenoma/hepatic adenoma had been a rare tumor until the introduction of oral contracep - tives. It is most common in women in their reproduc - tive years, ages 15–45. Grossly, hepatic adenomas are well demarcated, occasionally encapsulated, yellow and tan. Most of the adenomas have a fairly homoge - neous appearance. Histologically, adenomas consist of tumor cells arranged in a cord pattern. The large cells have a pale cytoplasm because of glycogen or fat accu - mulation. The tumor is found incidentally in 5–10% of the cases. Patients present with acute abdominal pain caused by hemorrhage in about 30–40%. Regression and regressive enlargement of adenomas after with - drawal of oral contraceptives have been reported. Acute abdominal catastrophe can only be treated by emergency surgery."
 Strawberry gallbladder is found in which of the follow - ing medical conditions?,A. Cholesterolosis,B. Hydrops of the gallbladder mucocele,C. Ascending cholangitis,D. Gallbladder cancer,E. Bile duct cancer,335.0,A. Cholesterolosis,"Cholesterolosis is characterized by abnormal accu - mulation of cholesterol esters and triglycerides in the mucosa and submucosa of the gallbladder. Much of the cholesterol is found in histiocytes, giving them a foamy appearance. Aggregates of these foamy cells are present on the top of mucosal ridges and are visi - ble to the naked eye as yellowish, pinpoint spots or nodules. Many of these nodules are less than 1 mm in diameter. The nodules in about one third of cases are larger and polypoid in appearance. When these spots/ nodules are diffusely distributed over the mucosa, they simulate the surface of a strawberry, hence the term strawberry gallbladder. These cholesterol polyps may break off and become a nidus for gallstone formation."
 Carcinoma of the intrahepatic bile ducts is found in which of the following medical conditions?,A. Bile duct carcinoma,B. Cholangiocarcinoma,C. Klatskin’s tumor,D. Gallbladder cancer,E. Hepatocellular carcinoma,336.0,B. Cholangiocarcinoma,"Cholangiocarcinoma arises from intra- and extrahe - patic bile ducts. Cholangiocarcinoma is a known com - plication of primary sclerosing cholangitis. Other predisposing diseases which can cause cholangiocarci - noma include fibropolycystic liver disease and infection with liver flukes ( Clonorchis sinensis ). Some other risk factors include the use of anabolic steroids, Caroli’s dis - ease, Thorotrast, congenital hepatic fibrosis. On gross examination, there is a tree like mass that grows along the biliary system."
 Which parasite causes amoebic liver abscess?,A. Entamoeba histolytica,B. Hookworm (Necator americanus),C. Roundworm (Ascaris lumbricoides),D. Schistosoma mansoni,E. Taenia solium,337.0,A. Entamoeba histolytica,"The term amoebiasis signifies infection by the proto - zoan parasite, Entamoeba histolytica . Amoeba reaches the liver through the portal blood. Most amoebic abscesses are found in the right lobe of the liver. The right lobe is affected more often than the left lobe because it has a larger volume. The right lobe also receives the venous drainage from the cecum and ascending colon, parts of the bowel commonly affected by amoebiasis. Amoebic liver abscesses are well demar - cated lesions. They contain yellow-brown fluid that later retains classic orange-brown anchovy sauce. The fluid consists of necrotic liver tissue mixed with the blood."
 Which of the following is the most common benign liver tumor?,A. Cavernous hemangioma,B. Hepatoblastoma,C. Choledochal cyst,D. Hepatic adenomas,E. Focal nodular hyperplasia,338.0,A. Cavernous hemangioma,"Cavernous hemangioma is the most common benign mesenchymal tumor of the liver. They are also known as capillary hepatic hemangiomas. This tumor occurs at any age but are they mostly seen in adults. They are usu - ally asymptomatic and are incidental found on imaging. Grossly, hepatic hemangioma is a well-demarcated, red - dish tumor ranging in size from a few millimeters to more than 20 cm. Most of the tumors are solitary, but multiple lesions may also be present. Histologically, the tumor is composed of irregular vascular channels lined by endothelial cells surrounded by fibrous stroma of low cellularity. The entire tumor sometimes is replaced by dense, often hyalinized tissue."
 Which is the commonest type of gallbladder cancer?,A. Squamous cell carcinoma of gallbladder,B. Adenosquamous carcinoma of gallbladder,C. Adenocarcinoma of gallbladder,D. Small cell carcinoma of gallbladder,E. Lymphoma,339.0,C. Adenocarcinoma of gallbladder,"The most common cancer of the biliary tract is the carcinoma of the gallbladder. It is more common in women between sixth and seven decades of life. Gallstones are found in 60–90% of the patients. Carcinoma of the gallbladder is an infiltrative lesion that eventually involves the whole organ. Histologically, 85% of the carcinoma of gallbladder are adenocarcino - mas. The remainder comprises undifferentiated carcino - mas, squamous cell carcinoma, and adenoacanthoma. Patient usually present with intermittent pain in the upper abdomen, weight loss, anorexia, nausea, and vom - iting. About 50% of the patients present with jaundice and palpable abdominal mass. Carcinoma of the gall - bladder is a lethal disease and 5 -year survival rate is 1–3%."
 Industrial exposure to polyvinyl chloride is associated with which kind of liver cancer?,A. Hepatocellular carcinoma,B. Angiosarcoma of the liver,C. Hepatic metastases,D. Hepatoblastoma,E. Cholangiocarcinoma,340.0,B. Angiosarcoma of the liver,"Angiosarcoma, the most common malignant mesen - chymal tumor of the liver, is derived from endothelial cells. Peak age incidence is in the sixth and seven decades and a male/female ratio of 3:1. Many hepatic angiosarcomas are causatively related to polyvinyl chlo - ride, thorotrast, and arsenic. Other important factors include external radiation, copper, hemochromatosis, steroids, and phenelzine. Grossly, it is various-size hem - orrhagic tumor. Histologically, angiosarcoma is charac - terized by two cell types: spindle-shaped and polyhedral cells. There are spindle shaped tumor cells that show both sinusoidal and solid growths. Liver cords are mark - edly atrophic."
 Transient unconjugated hyperbilirubinemia due to the immaturity of the liver is defined as which of the follow - ing medical conditions?,A. Hereditary hyperbilirubinemias,B. Biliary tract obstruction,C. Choledochal cyst,D. Physiologic jaundice of the newborn,E. Nonimmune hemolytic anemia,341.0,D. Physiologic jaundice of the newborn,"Transient elevation of plasma bilirubin is a common occurrence during the neonatal period. 97% of the healthy full-term infants manifest hyperbilirubinemia (unconjugated) of more than 1 mg/dL. 5% of newborn infants become jaundiced with hyperbilirubinemia more than 5 mg/dL. This physiological jaundice is multifacto - rial, resulting from the contributions of accelerated erythrocyte degradation caused by the turnover of fetal red blood cells, relative hepatic immaturity of bilirubin 12 Liver and Biliary Tract 101 conjugation and increased enterohepatic circulation. Plasma bilirubin returns to normal levels of less than 1 mg/dL within the first 10 days of life in most cases."
" A middle-aged man presents to the emergency depart - ment after an episode of vomiting of large volume of blood. There is also history of spiking fevers, chills, bloody, and tarry stools. Physical examination shows tender liver. Endoscopy shows bleeding esophageal vari - ces. What is the diagnosis?",A. Portal vein thrombosis,B. Granulomatous hepatitis,C. Hepatoportal sclerosis Multiple Choice Questions 96,D. Primary biliary cirrhosis,E. Budd–Chiari syndrome,342.0,A. Portal vein thrombosis,"Portal vein thrombosis (PVT) causes an interruption of the normal blood flow in the portal vein (PV), causing portal hypertension. The signs of portal hypertension include esophageal varices and splenic enlargement. Ascites is uncommon. Some of the common causes of PVT are thrombophilic conditions, tumor invasion, and liver cirrhosis."
" A 22-year-old male comes to the physician office with symptoms of mild jaundice after fasting for 3 days. He has similar episodes in the past. Laboratory findings show total bilirubin 2.7  mg/dL, while liver enzymes (SGOT, SGPT) are within normal limits. What is the diagnosis?",A. Gilbert syndrome,B. Crigler–Najjar syndrome,C. Dubin–Johnson syndrome,D. Acetaminophen ingestion,E. Acute alcoholic hepatitis,343.0,A. Gilbert syndrome,"Gilbert syndrome is an inherited disorder of bilirubin glucuronidation. It is a benign condition. There is a mutation in UGT1A1, in which production of UDP glucuronyl transferase is decreased, the enzymes that mediate the glucuronidation of various compounds. There may be recurrent episodes of jaundice with no apparent disease. It may be triggered by fasting, dehy - dration, physical exertion, hemolysis, febrile illness, stress, and menses. No specific therapy is required for these patients."
 Which is a common complication of chronic cholecysti - tis with porcelain gallbladder?,A. Squamous cell carcinoma,B. Adenosquamous carcinoma,C. Cholangiocarcinoma,D. Gallbladder adenocarcinoma,E. Lymphoma of gallbladder,344.0,D. Gallbladder adenocarcinoma,"Porcelain bladder is a manifestation of chronic gall - bladder inflammation in chronic cholecystitis. Majority of patients have associated gallstones. Patients may be asymptomatic or present with right upper quadrant abdominal pain. Findings of porcelain gallbladder are detected incidentally on abdominal imaging. The porce - lain gallbladder is used to describe brittle consistency and bluish discoloration of the gallbladder. Gross exami - nation shows a bluish, brittle with thickened gallbladder wall. Histologically, there is a broad continuous band of calcifications in the muscularis. Mucosa shows several punctate calcifications. There is an increased risk of ade - nocarcinoma in porcelain gallbladder."
 SGOT (AST) SGPT (ALT) ratio greater than 1.5 is found in which of the following medical conditions?,A. Chronic pancreatitis,B. Alcoholic hepatitis,C. Hepatitis B,D. Hepatitis C,E. Hepatitis A virus infection,345.0,B. Alcoholic hepatitis,"Alcoholic hepatitis is a form of toxic liver injury associated chronic excess ethanol consumption. Alcohol- induced liver lesions are fatty liver, alcoholic hepatitis, cirrhosis, and hepatocellular carcinoma. Alcoholic hepa - titis represents a serious but often reversible stage in the disease process. Association with some degree of fatty liver and cirrhosis is present in over half the cases. Important features essential for the histologic diagnosis of alcoholic hepatitis include liver cell damage (balloon - ing degeneration), inflammatory cell infiltration, pre - dominantly polymorphonuclear leukocytes, fibrosis both pericellular, and periventricular (centrilobular). Mallory body formation varies with the severity of the disease. Clinically, there is jaundice. Laboratory find - ings show serum bilirubin of more than 3 mg/dL and an AST: ALT ratio greater than >1.5 (elevated levels of enzymes not exceeding 400 IU)."
" A 36-year-old male patient comes to the physician office with symptoms of abdominal pain, ascites, and liver enlargement. What is the diagnosis?",A. Alpha1-antitrypsin deficiency,B. Granulomatous liver disease,C. Cirrhosis,D. Budd–Chiari syndrome,E. Infectious hepatitis,346.0,D. Budd–Chiari syndrome,"Budd–Chiari syndrome arises by thrombotic or non - thrombotic occlusion of hepatic veins and/or the intra-or hepatic suprahepatic inferior vena cava. There is an increase in sinusoidal pressure leading to clinical mani - festations of hepatomegaly, ascites and abdominal pain.  102 Prognosis is poor in untreated patients. Progressive liver failure results in 3 months to 3 years."
" A 35-year-old female presents with abdominal pain and weight loss over the last 6 months. On physical examina - tion, the patient has scleral icterus, hepatomegaly, and a palpable hepatic mass. Imaging studies show a central scar in the left lobe with calcifications. Biopsy is done and shows large polygonal cells with abundant granular, eosinophilic cytoplasm separated into nests by hyalin - ized bands of acellular collagen. What is the diagnosis?",A. Angiosarcoma of liver,B. Neuroendocrine hepatic neoplasm,C. Metastatic carcinoma of liver,D. Fibrolamellar hepatocellular carcinoma,E. Classic hepatocellular carcinoma,347.0,D. Fibrolamellar hepatocellular carcinoma,"The patient’s clinical presentation and imaging results are suggestive for fibrolamellar hepatocellular carci - noma (FLHCC). Fibrolamellar carcinoma is associated with prolonged survival, and occurs in young non- cirrhotic patients. FLHCC demonstrates large polygonal and eosinophilic tumor cells with enlarged nucleoli and nuclei. The tumor cells are separated into cords by inter - vening parallel layers of prominent fibrous tissue. AFP serum levels are not elevated."
" A 29-year-old man has used illicit intravenous drugs in the past. He comes to the clinic with complaints of fatigue and weight loss. He drinks regularly. A liver biopsy is obtained, and light microscopy shows ground glass hepatocytes. Which of the following is the most likely diagnosis in this patient?",A. Hepatitis A infection,B. Cirrhosis of liver,C. Chronic hepatitis,D. Hepatitis B infection,E. Hepatitis C infection,348.0,D. Hepatitis B infection,"Intravenous drug use carries a high risk for hepatitis B and C viral infection. Ground glass hepatocytes are found in chronic hepatitis B virus. These hepatocytes have eosinophilic, homogeneous cytoplasm. Ground glass hepatocytes usually surround normal granular hepatocytes. In chronic hepatitis, there is a significant inflammation surrounding portal triad. There is also an increased risk of hepatocellular carcinoma (HCC) with persistent inflammation and HBV viremia."
 Microscopic picture of a liver biopsy is shown below. What is the diagnosis?,A. Councilman body,B. Concentric fibrosis around bile ducts,C. Segmental stenosis of bile ducts,D. Beaded appearance of bile ducts,E. Mallory body,349.0,A. Councilman body,"Apoptosis is a term used to describe the death of indi - vidual cells. In acute liver hepatitis, liver biopsy shows panlobular lymphocytic infiltrate with areas of hepato - cyte necrosis. Necrotic hepatocytes present as balloon - ing hepatocytes. Hepatocytes may also undergo cytotoxic T cell-mediated apoptosis. Apoptotic hepatocytes appear as round, acidophilic bodies and referred to as Councilman bodies. They are found in various forms of hepatitis including acute viral hepatitis."
