id,Question,A,B,C,D,E,F
Set_9: q7,A 50-year-old woman with α1-antitrypsin deficiency and no history of smoking requires a double lung transplant for severe emphysema. Which type of emphysema would most likely predominate in this patient’s lung?,Paraseptal emphysema,Panacinar emphysema,Interstitial emphysema,Centriacinar emphysema,Proximal acinar emphysema,
Set_9: q8,"A 51-year-old male patient presents with shortness of breath, fever, and weight loss. He is a nonsmoker. He worked in restoring building for most of his life. Imaging studies show bilateral pleural effusions. Pleural biopsy is performed and shows discohesive aggregates of round tumor cells with abundant cytoplasm in a fuzzy cell bor - ders. What is the diagnosis?",Small cell lung cancer,Malignant mesothelioma,Squamous cell carcinoma of the lung,Nonsmall cell lung cancer (NSCLC),Adenocarcinoma of the lung,
Set_9: q9,"A 39-year-old man presents with symptoms of chest pain, wheezing, shortness of breath, diarrhea. He also com - plains of redness/feeling of warmth in the face and the neck. Imaging studies show an area of consolidation in the right upper lobe. What is the appropriate diagnosis?",Adenocarcinoma,Carcinoid tumor,Squamous cell carcinoma,Malignant mesothelioma,Hamartoma,
Set_9: q10,Consolidation of the lung is a common pathological reaction pattern to broad category of etiologic agents and pulmonary disease. Which of the following etiologic agents is commonly responsible for alveolar exudative solidification?,Viral pneumonia,Bacterial pneumonia,Chlamydial pneumonia,Mycoplasma pneumonia,Mycobacterium tuberculosis,
Set_9: q11,Which oncogene is found in the small cell lung carcinoma?,Ki-ras,L-myc,c-myc,n-myc,Cyclin D,
Set_9: q12,"Although most cases of lung cancer are due to tobacco smoking, lung cancer among never smokers is an impor - tant problem. Which of the following fusion oncogene is seen in nonsmall cell lung cancer?",Anaplastic lymphoma kinase (ALK) fusion oncogene,BCAM-AKT2,BCR-ABL,EWSR1-CREB1 and EWSR1-ATF1,ETV6-NTRK3,
Set_9: q13,Exposure to which of the following substances causes calcification of the rim of hilar nodes (eggshell calcification)?,Beryllium,Silica,Coal dust,Organic dust,Nylon flock exposure,
Set_9: q14,"A 19-year-old patient comes to the physician office with symptoms of fever, sore throat, and hoarseness and shortness of breath. Chest imaging shows reticu - lonodular opacities. Laboratory investigation shows elevated cold agglutinin titer. Which of the follow - ing organisms is responsible for this patient’s condition?",Mycoplasma pneumoniae,Pseudomonas aeruginosa,Staphylococcus aureus,Streptococcus pneumoniae,Streptococcus pyogenes,
Set_9: q15,Pulmonary nodules may be detected on cross sectional imaging studies performed for an unrelated reason. Which of the following is the benign tumor of the lung?,Hamartoma,Adenocarcinoma,Squamous cell carcinoma,Large cell carcinoma,Small cell carcinoma,
Set_9: q16,Gross appearance of the affected lung is shown in the figure below. Which of the following pathogen is a cause of this appearance of lung?9 Lungs 71,Streptococcus pneumoniae,Mycoplasma pneumoniae,Pneumocystis jiroveci,Streptococcus aureus,Pseudomonas aeruginosa,
Set_9: q17,A 35-year-old man presents with symptoms of chronic obstructive pulmonary disease. X-ray shows vague retic - ulonodular pattern. Bronchoscopy is done and a methe - namine silver stain highlights the cysts. Which additional testing should be performed?,Blood culture,Sputum gram stain and culture,HIV antibody testing,Mycobacterial culture,Pulmonary function testing,
Set_9: q18,All of the following paraneoplstic syndromes are seen in carcinoma lung except:,Hypertrophic osteoarthropathy,Myasthenia gravis,Cushing’s syndrome,Hypoglycemia,Hypercalcemia,
Set_9: q19,Which of the following organisms is most likely respon - sible for lung abscess?,Pseudomonas aeruginosa,Peptostreptococcus,Escherichia coli,Streptococcus pneumoniae,Streptococcus pyogenes,
Set_9: q20,"Shoulder and arm pain, atrophy of muscles of the hand and Horner syndrome are because of which of the fol - lowing condition?",Multiple myeloma,Adenoid cystic carcinoma,Pancoast tumor,Mesothelioma,Lymphoma,
Set_9: q21,Which of the following pulmonary infections does not result in granuloma formation?,Mycobacterium tuberculae,Histoplasma capsulatum,Blastomyces dermatitidis,Coccidioides immitis,Legionella pneumophila,
Set_10: q1,Warthin tumor,Acinic cell carcinoma,Squamous cell carcinoma,Pleomorphic adenoma,Mucoepidermoid carcinoma,,
Set_10: q2,Which salivary gland is the most frequent site of tumor involvement?,Parotid gland,Submaxillary gland,Sublingual gland,Minor salivary glands,Submandibular gland,
Set_10: q3,"A 59-year-old male presents with symptoms of chronic nasal congestion, ear fullness, tinnitus, headaches, and dizziness for the last 6 months. There is a long history of smoking. Imaging studies demonstrate a left-sided, homogenous mass in the region of Rosenmuller’s fossa. Resection of the mass is done that is EBER positive. What is the diagnosis?",Granular cell tumor,Non-Hodgkin lymphoma,Rhabdomyosarcoma,Nasopharyngeal carcinoma,Paraganglioma,
Set_10: q4,Which of the following mutations are seen in medullary carcinoma of thyroid?,RET,PAX8/PPARy,RET/PTC,RAS,BRAF,
Set_10: q5,Viral Parotitis is caused by which organism?,Herpes simplex,Parvovirus B19,Adenovirus,Paramyxovirus,Papillomavirus,
Set_10: q6,Which of the following is the most common salivary gland neoplasm?,Pleomorphic adenoma,Adenoid cystic carcinoma,Warthin tumor,Oncocytoma,Basal cell adenoma,
Set_10: q7,"A 49-year-old man presents with a neck mass involving the right submandibular gland. Biopsy of the mass shows interlobular fibrosis, periductal fibrosis with lymphoplas - macytic proliferation. What is the diagnosis?",Chronic sclerosing sialadenitis,Pleomorphic adenoma,Adenoid cystic carcinoma,Mucoepidermoid carcinoma,Nodular sclerosis Hodgkin lymphoma,
Set_10: q8,A 42-years-old female presents with symptoms of hypothyroidism. Biopsy shows diffuse lymphoid infil - trate with germinal center formation. What is the diagnosis?,Hashimoto’s thyroiditis,Graves’ disease,Subacute thyroiditis,Papillary carcinoma of thyroid,Follicular thyroid carcinoma,
Set_10: q9,Diagram of a 35-year-old male patient with white lesions on the mucosa of the floor of the mouth is shown below. Patient smoked one pack of cigarettes per day for the last 15 years. What is the diagnosis?  78,Frictional keratosis,Candidiasis,Leukoplakia,Lichen planus,White sponge nevus,
Set_10: q10,"A 21-year-old man presented with a 2 months history of swelling in his lower right back teeth region. On intra - oral examination, a solitary well-defined oval-shaped erythematous mass was noticed in the right retromolar area. Biopsy of the mass is done. H&E microscopic pic - ture is shown below. What is the diagnosis?",Mucoepidermoid carcinoma,Acinic cell carcinoma,Squamous cell carcinoma,Pleomorphic adenoma,Mucoepidermoid carcinoma,
Set_10: q11,"Fine needle aspiration of a painless cystic mass in the midline neck region shows degenerative debris. This debris is admixed with mature squamous epithelium, colloid cells, hemosiderin laden macrophages, and lym - phocytes. What is the diagnosis?",Thyroglossal duct cyst,Epidermoid cyst,Branchial cyst,Squamous cell carcinoma,Metastatic thyroid carcinoma,
Set_10: q12,A 12-year-old male boy is evaluated by an otolaryngolo - gist for chronic nasal obstruction and purulent rhinor - rhea for the last couple of months. Nasal endoscopy demonstrates a large multi-lobulated polyp herniating into the right vestibule. CT scan shows a large mass fill - ing the right nasal cavity with post-obstructive pansinus - itis and destructive invasion of bone by tumor cells. What is the diagnosis?,Rhabdomyosarcoma,Lymphoproliferative disorders,Nevoid basal cell carcinoma,Non-Hodgkin lymphoma,Olfactory neuroblastoma,
Set_10: q13,A 13-year-old male presents with a 1.5 cm mass in the anterolateral neck. His mother states that she noticed the mass when the patient had a growth spurt. There is no change in the mass. Resection is done. Microscopic examination shows cells overly a stroma with a dense polymorphic lymphocytic infiltrate. What is the diagnosis?,Thyroglossal duct cyst,Hodgkin lymphoma,Marginal zone lymphoma,Mantle cell lymphoma,Branchial cleft cyst,
Set_10: q14,"A 62-year-old male, heavy smoker, presents with a large mass in the oral cavity. Physical examination shows large fungating mass in the oral cavity. Biopsies are taken and histology shows elongated fronds of surface growth with marked keratosis. Photograph of the oral cavity and microscopic picture are shown below. What is the  diagnosis? 10 Head and Neck 79",Squamous cell carcinoma,Verrucous carcinoma,Mucoepidermoid carcinoma,Low-grade adenocarcinoma,Adenoid cystic carcinoma,
Set_10: q15,A 45-year-old male presents with small 4  cm right parotid mass. Histological features are composed of prominent layer of the basal cells arranged in a trabecu - lar pattern. What is the diagnosis?,Warthin tumor,Mucoepidermoid carcinoma,Sebaceous hyperplasia,Adenoid cystic carcinoma,Basal cell adenoma,
Set_10: q16,A 58-year-old female presents with a firm mass in the neck. Biopsies show massive fibrotic tissue with few entrapped thyroid follicles. What is the diagnosis?,Thyroid lymphoma,Papillary carcinoma of thyroid,Follicular carcinoma of thyroid,Fibrosing thyroiditis,Thyroid adenoma,
Set_10: q17,There are different kinds of thyroid cancers. Which of the following thyroid cancer is characterized by Orphan Annie eye nuclei?,Papillary thyroid carcinoma,Follicular thyroid carcinoma,Hurthle cell carcinoma,Medullary thyroid carcinoma,Anaplastic thyroid carcinoma,
Set_10: q18,A mass is removed from the middle ear of a 44-year-old man. What is the diagnosis?,Cholesteatoma,Squamous cell carcinoma,Adenoma of the middle ear,Cholesterol granuloma,Dermoid cyst,
Set_10: q19,"A 51-year-old man presents with facial palsy and a parotid mass undergoes a resection. Biopsy of the mass shows tumor cells in cribriform, tubular, and solid pat - terns. What is the diagnosis?",Acinic cell carcinoma,Warthin tumor,Adenoid cystic carcinoma,Salivary duct carcinoma,Mucoepidermoid carcinoma,
Set_10: q20,Which of the following is the most common site of ori - gin of minor salivary gland neoplasm?,Esophagus,Bronchi,Oral cavity including palate,Nasal cavity,Trachea,
Set_10: q21,A 50-year-old woman presents with difficulty breathing. Physical examination shows nasal obstruction. A biopsy shows large vacuolated cells and plasma cells. PAS and Gram stain reveals Gram-negative coccobacilli. What is the diagnosis?,Wegner’s granulomatosis,Tuberculosis,Myospherulosis,Rhinoscleroma,Rhinosporidiosis,
Set_10: q22,A 27-year-old male with a history of Hodgkin lym - phoma which is now in remission presents with lymph - adenopathy in the neck. What is the diagnosis?,Reactive histiocytes,Recurrent/Persistent Hodgkin lymphoma,Anaplastic large cell lymphoma,Follicular lymphoma,Non-Hodgkin lymphoma,
Set_10: q23,A 67-year-old man presents with pink-red lesion on the right side of the face. The lesion appears to be ulcerated and bleeding. Incisional biopsy is performed and shows nest of atypical squamous cells infiltrating the underly - ing dermis. What is the diagnosis?,Basal cell carcinoma,Adenoid cystic carcinoma,Non-Hodgkin lymphoma,Sebaceous carcinoma,Squamous cell carcinomaMultiple Choice Questions 80,
Set_11: q1,Rectum,Colon,Caecum,Distal ileum and colon,Distal ileum,,
Set_11: q2,Which of the following diseases is associated with Helicobacter pylori  infection?,Esophagitis,Diverticulitis,Inflammatory bowel disease,Duodenal peptic ulcer,Celiac disease,
Set_11: q3,Which of the following gastric neoplasm typically occurs at the junction of pyloric and corpus mucosa?,Gastric adenoma,Gastric xanthoma,Gastric hyperplastic polyps,Hamartomatous polyp,Gastric carcinoid,
Set_11: q4,"A 48-year-old male with HIV presents with profuse, watery diarrhea of 7  days duration. What is the most likely cause of this patient’s symptoms?",Giardia,Cryptosporidium,Entamoeba histolytica,Toxoplasma,Histoplasma,
Set_11: q5,"A 25-year-old man presents to a rheumatologist with complaints of joint pain involving the large joints of the legs. On questioning, the patient indicates that exacerba - tions in the joint pain are frequently accompanied by diarrhea. Which of the following gastrointestinal disease is most likely to be implicated as the cause of the patient’s joint problems?",Amebic colitis,Chronic appendicitis,Diverticulosis,Pseudomembranous colitis,Ulcerative colitis,
Set_11: q6,"A 54-year-old man presents with abdominal pain, fever, and profuse diarrhea. There is a history of recent hospitalization where he was given clindamycin. What is the diagnosis?",Ischemic colitis,Diversion colitis,Clostridium difficile colitis,Irritable bowel syndrome,Viral gastroenteritis,
Set_11: q7,A biopsy of the GE junction is performed in a 60-year- old male. Biopsy shows Barrett’s esophagus. The patient has an increased risk of which of the following disease?,Adenocarcinoma,Squamous cell carcinoma,Leiomyoma,Adenosquamous carcinoma,Mucoepidermoid carcinoma,
Set_11: q8,"Which of the following disease is the most likely life - time risk of colon cancer, if left untreated?",Ulcerative colitis,Familial juvenile polyposis,Familial adenomatous polyposis,Crohn disease,Cowden disease,
Set_11: q9,Gastrin-secreting tumors and elevated gastrin levels are characteristic findings of which of the following disease?,Antral G cell hyperplasia,Zollinger–Ellison syndrome,Gastric antrum syndrome,Retained antrum syndrome,Menetrier disease,
Set_11: q10,"A 60-year-old woman presents to the emergency room with a 5 days of passing maroon, tarry stools. Endoscopy  86 is performed and shows thickening of the mucosal folds, irregular nodularity producing a cobblestone effect and ulceration. What is the diagnosis?",Extranodal lymphoma,MALToma,Diffuse large cell lymphoma,Gastric lymphoma,Non-Hodgkin lymphoma,
Set_11: q11,"A 65-year-old man complains of abdominal pain, thin caliber stools, and fatigue. His hematocrit is 32% and hemoglobin 9 g/dL. He underwent exploratory laparot - omy and a 14  cm segment of his sigmoid colon is removed. What is the diagnosis?",Diverticulitis with perforation,Ulcerative colitis,Intussusception,Crohn’s disease,Colorectal adenocarcinoma,
Set_11: q12,"A 3-year-old child is brought to the emergency room by her parents for 3  weeks of abdominal pain, vomiting, and weight loss. Pain is most severe after eating. On examination, the child appears well, until after she ingests some crackers. At this point, child cries inconsol - ably and grabs her abdomen. Esophageal pH monitoring reveals an abnormally high pH of gastric secretions. What is the diagnosis?",Inflammatory bowel disease,Malabsorption,Collagenous and lymphocytic colitis,Menetrier disease,Viral enteritis,
Set_11: q13,"A 52-year-old woman is undergoing endoscopy to eval - uate persistent gastrointestinal reflux. In the stomach, there is a solitary, well-circumscribed fleshy mass cov - ered with intact mucosa. Further studies show mutation in a gene that encodes tyrosine kinase c-KiT. What is the diagnosis?",Adenocarcinoma,Lymphoma,Epithelioid hemangioendothelioma,Gastrointestinal stromal tumor,Leiomyoma,
Set_11: q14,A 2-week-old infant with Down syndrome presents with distended abdomen and history of no stools. Bowel sounds are absent. Abdominal X-rays shows megacolon. A sigmoid colon biopsy shows lack of mural ganglion cells. What is the most likely diagnosis?,Congenital pyloric stenosis,Chagas disease,Hirschsprung’s disease,Cystic fibrosis,Rectal atresia,
Set_11: q15,"A 24-month-old girl presents with abdominal pain, diar - rhea, vomiting, and weight loss. Duodenal biopsy reveals crypt hyperplasia, villous atrophy, and intraepithelial lymphocyte infiltration. What is the diagnosis?",Intussusception,Celiac disease,Hirschsprung’s disease,Incarcerated hernia,V olvulus of bowel,
Set_11: q16,A 40-year-old man comes to the physician office with severe upper abdominal pain. Upper gastrointestinal endoscopy reveals a small ulcer with a clean base in the duodenal bulb. Biopsy of which part of the stomach would demonstrate the infectious agent?,Gastric fundus,Gastric cardia,Pylorus,Gastric antrum,Body of the stomach,
Set_11: q17,Which is a complication of long-standing GERD (gas - troesophageal reflux disease) and is characterized by columnar metaplasia of the squamous epithelium that normally lines the esophagus?,Barrett esophagus,Leiomyoma,Squamous papilloma,Lipoma,Adenocarcinoma,
Set_11: q18,"A patient presents with diarrhea, cutaneous flushing, bronchospasm, and wheezing. Urine levels of 5-HIAA (5-hydroxyindoleacetic acid) is increased. What is the diagnosis?",Peutz–Jeghers syndrome,Turcot’s syndrome,Carcinoid tumor,Gardner’s syndrome,Familial adenomatous polyposis (FAP),
Set_11: q19,Which type of gastrointestinal disease is associated with pernicious anemia?,Acute hemorrhagic gastritis,Gastric cancer,Gastroesophageal reflux disease,Chronic atrophic gastritis,Chronic peptic ulcer,
Set_11: q20,Left supraclavicular adenopathy and Krukenberg’s tumor are usually found in which of the following disease?,Esophageal cancer,Gastric carcinoma,Malignant neoplasms of the small intestine,Non-Hodgkin lymphoma,Colonic adenocarcinoma11 Gastrointestinal Tract 87,
Set_11: q21,"Four cardinal manifestations—arthralgias, diarrhea, abdominal pain, and weight loss are found in which of the following medical condition?",Abdominal angina,Celiac disease (Sprue),Malabsorption,Whipple disease,Tropical sprue,
Set_11: q22,Failure of the lower esophageal sphincter to relax with swallowing is called as:,Achalasia,Gastroesophageal reflux disease,Pseudoachalasia,Esophageal spasm,Jackhammer (nutcracker) esophagus,
Set_11: q23,A 55-year-old male presented with a 6-month history of iron-deficiency anemia. Esophagogastroduodenoscopy (EGD) and colonoscopy were performed. Colonoscopy revealed a left sided polypoid colonic mass. Which of the following statements is most accurate regarding this kind of tumor?,Associated with carcinoid tumors,Most often presents in the left colon,Most patients have favorable prognosis,Associated with an overlying adenoma,Most cases are positive for TTF-1,
Set_11: q24,Which esophageal carcinoma presents mostly in the proximal-two third of the esophagus and frequently metastasizes to mediastinal lymph nodes?,Adenocarcinoma,Gastrointestinal stromal tumors,Squamous cell carcinoma,Leiomyosarcoma,Barrett esophagus,
Set_11: q25,Which is true for sessile serrated (SSA) polyp?,Usually less than 1 mm in size,More common in the left colon,Always have cytological features of at least low- grade dysplasia,Commonly have a high prevalence of KRAS mutations,Associated with increased risk for colon cancer,
Set_11: q26,Which of the following bacterial infections can histo - logically mimic ischemic colitis?,Enteroadherent Escherichia coli,Salmonella typhimurium,Clostridium difficile,Vibrio cholerae,Yersinia pseudotuberculosis,
Set_11: q27,Which of the following statements is most accurate regarding collagenous colitis?,Often presents with bloody diarrhea,Associated with autoimmune diseases,Neutrophils are prominent feature,Colonoscopic examination is often abnormal,Increased prevalence in men and smokers,
Set_12: q1,Elevated level of serum glutamic oxaloacetic trans - aminase (SGOT),Elevated level of serum glutamic pyruvic transami - nase (SGPT),Prolonged prothrombin time,Elevated level of gamma-glutamyl transferase (GGT),Elevated level of alkaline phosphatase,,
Set_12: q2,Which of the following drug causes hepatocellular necrosis with inflammation?,Acetaminophen,Diclofenac sodium,Ibuprofen,Acetylsalicylic acid,Sucralfate,
Set_12: q3,"A 10-year-old male child comes to the pediatrician office with symptoms of yellow appearance of the skin and sclera, foul-smelling, pale stools, poor weight gain, enlarged abdomen, loss of appetite. His father died of liver cirrhosis. Physical examination shows hepatomeg - aly. What is the diagnosis?",Chronic viral hepatitis,Alpha-1 antitrypsin deficiency,Gilbert’s syndrome,Crigler–Najjar syndrome,Dubin–Johnson syndrome,
Set_12: q4,LDH 5 is found in which of the following organ?,Kidney,Heart,Liver,Prostate,Brain,
Set_12: q5,"A 45-year-old woman presents with symptoms of pruritus, fatigue, right upper quadrant pain, recurrent cholangitis, and symptoms of portal hypertension. Laboratory findings show elevated alkaline phosphatase. Cholangiogram shows evidence of characteristic bile duct changes (multifocal strictures, segmental dilations). What is the diagnosis?",Primary sclerosing cholangitis (PSC),Abdominal vascular Injuries,Acalculous cholecystitis,Autoimmune hepatitis,Cholangiocarcinoma,
Set_12: q6,Gross picture of a specimen is shown below. What is the diagnosis?,Hemochromatosis,Metastatic liver disease,Fatty metamorphosis,Micronodular cirrhosis,Metabolic liver disease  94,
Set_12: q7,A 50-year-old woman presents with increasing abdomi - nal girth and enlarging liver. Laboratory findings show elevated Alpha-fetoprotein in the serum. What is the diagnosis?,Serous papillary cystadenocarcinoma,Metastatic gastric adenocarcinoma,Hepatocellular carcinoma,Pancreatic carcinoma,Endometrial carcinoma,
Set_12: q8,"What would be expected to be seen microscopically in a liver biopsy from a patient with typical acute hepatitis, if the biopsy was taken during the icteric phase?",No pathologic changes,"Mononuclear inflammatory cells, ground glass hepa - tocytes and bridging necrosis","Mononuclear inflammatory cells, swollen hepato - cytes, and bile plugs in canaliculi","Mononuclear inflammatory cells, especially a prom - inent Kupffer cell reaction",Mononuclear inflammatory cells and piecemeal necrosis,
Set_12: q9,"A 52-year-old woman with a history of autoimmune thy - roid disease (Hashimoto’s thyroiditis) presents with severe pruritus, especially at night. Laboratory investi - gations show elevated alkaline phosphatase. What is the diagnosis?",Alcoholic hepatitis,Hemochromatosis,Primary biliary cholangitis,Hepatitis C,Hepatitis A,
Set_12: q10,Distant organ metastases in esophageal cancer is com - mon in which of the following organ?,Liver,Lung,Bone,Brain,Breast,
Set_12: q11,"A middle aged man with a history of abdominal swelling and pain, swelling in the legs and ankles, chronic fatigue, nausea, and vomiting. Histological picture is shown below. What is the diagnosis?",Chronic viral hepatitis,Metabolic liver disease,Alcoholic fatty liver,Hemochromatosis,Hepatocellular carcinoma,
Set_12: q12,Gross pictures of liver of middle aged male are shown below. What is the diagnosis? 12 Liver and Biliary Tract 95,Cirrhosis of liver,Hemangioma of liver,Cholangiocarcinoma of liver,Angiosarcoma of liver,Metastatic tumors to the liver,
Set_12: q13,Which of the following hepatitis viruses are responsible for hepatocellular carcinoma?,Hepatitis A (HA V),Hepatitis B (HBV),Hepatitis C (HCV),Hepatitis D (HDV),Hepatitis B (HBV) and Hepatitis C (HCV),
Set_12: q14,Which of the following virus that replicates only in HBV-infected cells?,Hepatitis A,Hepatitis C,Hepatitis D (Delta agent),Hepatitis E,Epstein-Barr,
Set_12: q15,"A 40-year-old female patient comes to the physician office with symptoms of fever, nausea, vomiting, pain in the upper right side of the abdomen. Physical examina - tion shows right upper quadrant tenderness on palpation. Laboratory investigations showed leukocytosis. What is the diagnosis?",Acute cholecystitis,Chronic cholecystitis,Ascending cholangitis,Acute pancreatitis,Chronic pancreatitis,
Set_12: q16,Microscopic findings of chronic inflammation and Rokitansky–Aschoff sinuses are found in which of the following medical conditions?,Acute cholecystitis,Chronic cholecystitis,Ascending cholangitis,Acute pancreatitis,Chronic pancreatitis,
Set_12: q17,A 30-year-old woman presents with sudden onset of severe abdominal pain. She is using oral contraceptives regularly. Ultrasound of abdomen shows a small hepatic mass. What is the diagnosis?,Focal nodular hyperplasia,Hepatic adenoma,Nodular regenerative hyperplasia,Adenomatous hyperplasia,Cavernous hemangioma,
Set_12: q18,Strawberry gallbladder is found in which of the follow - ing medical conditions?,Cholesterolosis,Hydrops of the gallbladder mucocele,Ascending cholangitis,Gallbladder cancer,Bile duct cancer,
Set_12: q19,Carcinoma of the intrahepatic bile ducts is found in which of the following medical conditions?,Bile duct carcinoma,Cholangiocarcinoma,Klatskin’s tumor,Gallbladder cancer,Hepatocellular carcinoma,
Set_12: q20,Which parasite causes amoebic liver abscess?,Entamoeba histolytica,Hookworm (Necator americanus),Roundworm (Ascaris lumbricoides),Schistosoma mansoni,Taenia solium,
Set_12: q21,Which of the following is the most common benign liver tumor?,Cavernous hemangioma,Hepatoblastoma,Choledochal cyst,Hepatic adenomas,Focal nodular hyperplasia,
Set_12: q22,Which is the commonest type of gallbladder cancer?,Squamous cell carcinoma of gallbladder,Adenosquamous carcinoma of gallbladder,Adenocarcinoma of gallbladder,Small cell carcinoma of gallbladder,Lymphoma,
Set_12: q23,Industrial exposure to polyvinyl chloride is associated with which kind of liver cancer?,Hepatocellular carcinoma,Angiosarcoma of the liver,Hepatic metastases,Hepatoblastoma,Cholangiocarcinoma,
Set_12: q24,Transient unconjugated hyperbilirubinemia due to the immaturity of the liver is defined as which of the follow - ing medical conditions?,Hereditary hyperbilirubinemias,Biliary tract obstruction,Choledochal cyst,Physiologic jaundice of the newborn,Nonimmune hemolytic anemia,
Set_12: q25,"A middle-aged man presents to the emergency depart - ment after an episode of vomiting of large volume of blood. There is also history of spiking fevers, chills, bloody, and tarry stools. Physical examination shows tender liver. Endoscopy shows bleeding esophageal vari - ces. What is the diagnosis?",Portal vein thrombosis,Granulomatous hepatitis,Hepatoportal sclerosis Multiple Choice Questions 96,Primary biliary cirrhosis,Budd–Chiari syndrome,
Set_12: q26,"A 22-year-old male comes to the physician office with symptoms of mild jaundice after fasting for 3 days. He has similar episodes in the past. Laboratory findings show total bilirubin 2.7  mg/dL, while liver enzymes (SGOT, SGPT) are within normal limits. What is the diagnosis?",Gilbert syndrome,Crigler–Najjar syndrome,Dubin–Johnson syndrome,Acetaminophen ingestion,Acute alcoholic hepatitis,
Set_12: q27,Which is a common complication of chronic cholecysti - tis with porcelain gallbladder?,Squamous cell carcinoma,Adenosquamous carcinoma,Cholangiocarcinoma,Gallbladder adenocarcinoma,Lymphoma of gallbladder,
Set_12: q28,SGOT (AST) SGPT (ALT) ratio greater than 1.5 is found in which of the following medical conditions?,Chronic pancreatitis,Alcoholic hepatitis,Hepatitis B,Hepatitis C,Hepatitis A virus infection,
Set_12: q29,"A 36-year-old male patient comes to the physician office with symptoms of abdominal pain, ascites, and liver enlargement. What is the diagnosis?",Alpha1-antitrypsin deficiency,Granulomatous liver disease,Cirrhosis,Budd–Chiari syndrome,Infectious hepatitis,
Set_12: q30,"A 35-year-old female presents with abdominal pain and weight loss over the last 6 months. On physical examina - tion, the patient has scleral icterus, hepatomegaly, and a palpable hepatic mass. Imaging studies show a central scar in the left lobe with calcifications. Biopsy is done and shows large polygonal cells with abundant granular, eosinophilic cytoplasm separated into nests by hyalin - ized bands of acellular collagen. What is the diagnosis?",Angiosarcoma of liver,Neuroendocrine hepatic neoplasm,Metastatic carcinoma of liver,Fibrolamellar hepatocellular carcinoma,Classic hepatocellular carcinoma,
Set_12: q31,"A 29-year-old man has used illicit intravenous drugs in the past. He comes to the clinic with complaints of fatigue and weight loss. He drinks regularly. A liver biopsy is obtained, and light microscopy shows ground glass hepatocytes. Which of the following is the most likely diagnosis in this patient?",Hepatitis A infection,Cirrhosis of liver,Chronic hepatitis,Hepatitis B infection,Hepatitis C infection,
Set_12: q32,Microscopic picture of a liver biopsy is shown below. What is the diagnosis?,Councilman body,Concentric fibrosis around bile ducts,Segmental stenosis of bile ducts,Beaded appearance of bile ducts,Mallory body,
Set_12: q33,The bile duct neoplasm cholangiocarcinoma is an impor - tant complication of which of the following disease?,Autoimmune hepatitis,Primary sclerosing cholangitis (PSC),Chronic hepatitis C,Chronic hepatitis B,Primary biliary cirrhosis (PBC),
Set_12: q34,A 3-year-old boy presents with a liver mass. Alpha- fetoprotein (AFP) is elevated in the serum. This tumor is associated with Beckwith–Wiedemann syndrome. What is the diagnosis?,Hepatocellular carcinoma,Hepatoblastoma,Primary hepatic carcinoma,Fibrolamellar carcinoma,Hepatic adenoma,
Set_12: q35,Which serological markers are positive in people who have been vaccinated for Hepatitis B?,HBsAg,Anti HBs,HBcAG,Anti HBc,Anti-HBe12 Liver and Biliary Tract 97,
Set_12: q36,Mallory bodies are characteristic of which of the follow - ing condition?,Alcoholic hepatitis,Autoimmune hepatitis,Primary biliary cirrhosis,Wilson disease,Hemochromatosis,
Set_12: q37,A 49-year-old woman has multiple nodular lesions rang - ing from a few millimeters to several centimeters in size in the liver on CT imaging. Biopsy of a mass shows mul - tiple areas of fibrotic lesions. The tumor cells are elon - gated and cytoplasms are vacuolated. What is the diagnosis?,Leiomyosarcoma,Cholangiocarcinoma,Angiosarcoma,Epithelioid hemangioendothelioma,Adenocarcinoma,
Set_12: q38,Which of the following syndrome presents with jaundice of > 20 mg/dL plasma bilirubin and kernicterus?,Budd–Chiari syndrome,Gilbert syndrome,Crigler–Najjar Type 1 syndrome,Crigler–Najjar Type 2 syndrome,Physiological neonatal jaundice,
Set_13: q1,Gastrinoma,Alpha cell tumor,Beta cell tumor,Vipoma,Somatostatinoma,,
Set_13: q2,Which of the following is NOT a feature of type 1 diabe - tes mellitus?,Decrease in the number and size of islets,Mild acinar atrophy,Pheochromocytoma,Amyloid deposits in islets,Insulitis,
Set_13: q3,A middle-aged man presents to the emergency depart - ment with stabbing epigastric abdominal pain radiating to the back. Laboratory findings show elevation of serum amylase and lipase. What is the diagnosis?,Acute cholecystitis,Perforated peptic ulcer,Acute pancreatitis,Occlusion of mesenteric vessels with bowel infarction,Acute peritonitis,
Set_13: q4,Migratory thrombophlebitis is associated with which one of the following diseases?,Diabetes mellitus,Cholangitis,Acute pancreatitis,Chronic relapsing pancreatitis,Pancreatic carcinoma,
Set_13: q5,"A 55-year-old male presents with abdominal pain. He does not consume alcohol. There is a family history of pancreatic cancer. Endoscopic retrograde cholangiopan - creatography (ERCP) shows normal appearing pancre - atic duct. Biopsy shows papillary formation with tall columnar mucinous cells with mild, focal nuclear abnor - malities including nuclear crowding, hyperchromatism, and pseudostratification. What is the diagnosis?",Pancreatic adenocarcinoma,Squamous metaplasia of the pancreas,Pancreatic intraepithelial neoplasia (PanIN),Intraductal papillary mucinous neoplasm,Chronic pancreatitis,
