id,Question,A,B,C,D,E,F
Set_12: q9,"A 52-year-old woman with a history of autoimmune thy - roid disease (Hashimoto’s thyroiditis) presents with severe pruritus, especially at night. Laboratory investi - gations show elevated alkaline phosphatase. What is the diagnosis?",A. Alcoholic hepatitis,B. Hemochromatosis,C. Primary biliary cholangitis,D. Hepatitis C,E. Hepatitis A,
Set_12: q10, Distant organ metastases in esophageal cancer is com - mon in which of the following organ?,A. Liver,B. Lung,C. Bone,D. Brain,E. Breast,
Set_12: q11," A middle aged man with a history of abdominal swelling and pain, swelling in the legs and ankles, chronic fatigue, nausea, and vomiting. Histological picture is shown below. What is the diagnosis?",A. Chronic viral hepatitis,B. Metabolic liver disease,C. Alcoholic fatty liver,D. Hemochromatosis,E. Hepatocellular carcinoma,
Set_12: q12, Gross pictures of liver of middle aged male are shown below. What is the diagnosis? 12 Liver and Biliary Tract 95,A. Cirrhosis of liver,B. Hemangioma of liver,C. Cholangiocarcinoma of liver,D. Angiosarcoma of liver,E. Metastatic tumors to the liver,
Set_12: q13, Which of the following hepatitis viruses are responsible for hepatocellular carcinoma?,A. Hepatitis A (HA V),B. Hepatitis B (HBV),C. Hepatitis C (HCV),D. Hepatitis D (HDV),E. Hepatitis B (HBV) and Hepatitis C (HCV),
Set_12: q14, Which of the following virus that replicates only in HBV-infected cells?,A. Hepatitis A,B. Hepatitis C,C. Hepatitis D (Delta agent),D. Hepatitis E,E. Epstein-Barr,
Set_12: q15," A 40-year-old female patient comes to the physician office with symptoms of fever, nausea, vomiting, pain in the upper right side of the abdomen. Physical examina - tion shows right upper quadrant tenderness on palpation. Laboratory investigations showed leukocytosis. What is the diagnosis?",A. Acute cholecystitis,B. Chronic cholecystitis,C. Ascending cholangitis,D. Acute pancreatitis,E. Chronic pancreatitis,
Set_12: q16, Microscopic findings of chronic inflammation and Rokitansky–Aschoff sinuses are found in which of the following medical conditions?,A. Acute cholecystitis,B. Chronic cholecystitis,C. Ascending cholangitis,D. Acute pancreatitis,E. Chronic pancreatitis,
Set_12: q17, A 30-year-old woman presents with sudden onset of severe abdominal pain. She is using oral contraceptives regularly. Ultrasound of abdomen shows a small hepatic mass. What is the diagnosis?,A. Focal nodular hyperplasia,B. Hepatic adenoma,C. Nodular regenerative hyperplasia,D. Adenomatous hyperplasia,E. Cavernous hemangioma,
Set_12: q18, Strawberry gallbladder is found in which of the follow - ing medical conditions?,A. Cholesterolosis,B. Hydrops of the gallbladder mucocele,C. Ascending cholangitis,D. Gallbladder cancer,E. Bile duct cancer,
Set_12: q19, Carcinoma of the intrahepatic bile ducts is found in which of the following medical conditions?,A. Bile duct carcinoma,B. Cholangiocarcinoma,C. Klatskin’s tumor,D. Gallbladder cancer,E. Hepatocellular carcinoma,
Set_12: q20, Which parasite causes amoebic liver abscess?,A. Entamoeba histolytica,B. Hookworm (Necator americanus),C. Roundworm (Ascaris lumbricoides),D. Schistosoma mansoni,E. Taenia solium,
Set_12: q21, Which of the following is the most common benign liver tumor?,A. Cavernous hemangioma,B. Hepatoblastoma,C. Choledochal cyst,D. Hepatic adenomas,E. Focal nodular hyperplasia,
Set_12: q22, Which is the commonest type of gallbladder cancer?,A. Squamous cell carcinoma of gallbladder,B. Adenosquamous carcinoma of gallbladder,C. Adenocarcinoma of gallbladder,D. Small cell carcinoma of gallbladder,E. Lymphoma,
Set_12: q23, Industrial exposure to polyvinyl chloride is associated with which kind of liver cancer?,A. Hepatocellular carcinoma,B. Angiosarcoma of the liver,C. Hepatic metastases,D. Hepatoblastoma,E. Cholangiocarcinoma,
Set_12: q24, Transient unconjugated hyperbilirubinemia due to the immaturity of the liver is defined as which of the follow - ing medical conditions?,A. Hereditary hyperbilirubinemias,B. Biliary tract obstruction,C. Choledochal cyst,D. Physiologic jaundice of the newborn,E. Nonimmune hemolytic anemia,
Set_12: q25," A middle-aged man presents to the emergency depart - ment after an episode of vomiting of large volume of blood. There is also history of spiking fevers, chills, bloody, and tarry stools. Physical examination shows tender liver. Endoscopy shows bleeding esophageal vari - ces. What is the diagnosis?",A. Portal vein thrombosis,B. Granulomatous hepatitis,C. Hepatoportal sclerosis Multiple Choice Questions 96,D. Primary biliary cirrhosis,E. Budd–Chiari syndrome,
Set_12: q26," A 22-year-old male comes to the physician office with symptoms of mild jaundice after fasting for 3 days. He has similar episodes in the past. Laboratory findings show total bilirubin 2.7  mg/dL, while liver enzymes (SGOT, SGPT) are within normal limits. What is the diagnosis?",A. Gilbert syndrome,B. Crigler–Najjar syndrome,C. Dubin–Johnson syndrome,D. Acetaminophen ingestion,E. Acute alcoholic hepatitis,
Set_12: q27, Which is a common complication of chronic cholecysti - tis with porcelain gallbladder?,A. Squamous cell carcinoma,B. Adenosquamous carcinoma,C. Cholangiocarcinoma,D. Gallbladder adenocarcinoma,E. Lymphoma of gallbladder,
Set_12: q28, SGOT (AST) SGPT (ALT) ratio greater than 1.5 is found in which of the following medical conditions?,A. Chronic pancreatitis,B. Alcoholic hepatitis,C. Hepatitis B,D. Hepatitis C,E. Hepatitis A virus infection,
Set_12: q29," A 36-year-old male patient comes to the physician office with symptoms of abdominal pain, ascites, and liver enlargement. What is the diagnosis?",A. Alpha1-antitrypsin deficiency,B. Granulomatous liver disease,C. Cirrhosis,D. Budd–Chiari syndrome,E. Infectious hepatitis,
Set_12: q30," A 35-year-old female presents with abdominal pain and weight loss over the last 6 months. On physical examina - tion, the patient has scleral icterus, hepatomegaly, and a palpable hepatic mass. Imaging studies show a central scar in the left lobe with calcifications. Biopsy is done and shows large polygonal cells with abundant granular, eosinophilic cytoplasm separated into nests by hyalin - ized bands of acellular collagen. What is the diagnosis?",A. Angiosarcoma of liver,B. Neuroendocrine hepatic neoplasm,C. Metastatic carcinoma of liver,D. Fibrolamellar hepatocellular carcinoma,E. Classic hepatocellular carcinoma,
Set_12: q31," A 29-year-old man has used illicit intravenous drugs in the past. He comes to the clinic with complaints of fatigue and weight loss. He drinks regularly. A liver biopsy is obtained, and light microscopy shows ground glass hepatocytes. Which of the following is the most likely diagnosis in this patient?",A. Hepatitis A infection,B. Cirrhosis of liver,C. Chronic hepatitis,D. Hepatitis B infection,E. Hepatitis C infection,
Set_12: q32, Microscopic picture of a liver biopsy is shown below. What is the diagnosis?,A. Councilman body,B. Concentric fibrosis around bile ducts,C. Segmental stenosis of bile ducts,D. Beaded appearance of bile ducts,E. Mallory body,
Set_12: q33, The bile duct neoplasm cholangiocarcinoma is an impor - tant complication of which of the following disease?,A. Autoimmune hepatitis,B. Primary sclerosing cholangitis (PSC),C. Chronic hepatitis C,D. Chronic hepatitis B,E. Primary biliary cirrhosis (PBC),
Set_12: q34, A 3-year-old boy presents with a liver mass. Alpha- fetoprotein (AFP) is elevated in the serum. This tumor is associated with Beckwith–Wiedemann syndrome. What is the diagnosis?,A. Hepatocellular carcinoma,B. Hepatoblastoma,C. Primary hepatic carcinoma,D. Fibrolamellar carcinoma,E. Hepatic adenoma,
Set_12: q35, Which serological markers are positive in people who have been vaccinated for Hepatitis B?,A. HBsAg,B. Anti HBs,C. HBcAG,D. Anti HBc,E. Anti-HBe12 Liver and Biliary Tract 97,
Set_12: q36, Mallory bodies are characteristic of which of the follow - ing condition?,A. Alcoholic hepatitis,B. Autoimmune hepatitis,C. Primary biliary cirrhosis,D. Wilson disease,E. Hemochromatosis,
Set_12: q37, A 49-year-old woman has multiple nodular lesions rang - ing from a few millimeters to several centimeters in size in the liver on CT imaging. Biopsy of a mass shows mul - tiple areas of fibrotic lesions. The tumor cells are elon - gated and cytoplasms are vacuolated. What is the diagnosis?,A. Leiomyosarcoma,B. Cholangiocarcinoma,C. Angiosarcoma,D. Epithelioid hemangioendothelioma,E. Adenocarcinoma,
Set_12: q38, Which of the following syndrome presents with jaundice of > 20 mg/dL plasma bilirubin and kernicterus?,A. Budd–Chiari syndrome,B. Gilbert syndrome,C. Crigler–Najjar Type 1 syndrome,D. Crigler–Najjar Type 2 syndrome,E. Physiological neonatal jaundice,
Set_13: q1,Which of the following is the most common islet cell tumor of the pancreas?,A. Gastrinoma,B. Alpha cell tumor,C. Beta cell tumor,D. Vipoma,E. Somatostatinoma,
Set_13: q2,Which of the following is NOT a feature of type 1 diabe - tes mellitus?,A. Decrease in the number and size of islets,B. Mild acinar atrophy,C. Pheochromocytoma,D. Amyloid deposits in islets,E. Insulitis,
Set_13: q3,A middle-aged man presents to the emergency depart - ment with stabbing epigastric abdominal pain radiating to the back. Laboratory findings show elevation of serum amylase and lipase. What is the diagnosis?,A. Acute cholecystitis,B. Perforated peptic ulcer,C. Acute pancreatitis,D. Occlusion of mesenteric vessels with bowel infarction,E. Acute peritonitis,
Set_13: q4,Migratory thrombophlebitis is associated with which one of the following diseases?,A. Diabetes mellitus,B. Cholangitis,C. Acute pancreatitis,D. Chronic relapsing pancreatitis,E. Pancreatic carcinoma,
Set_13: q5,"A 55-year-old male presents with abdominal pain. He does not consume alcohol. There is a family history of pancreatic cancer. Endoscopic retrograde cholangiopan - creatography (ERCP) shows normal appearing pancre - atic duct. Biopsy shows papillary formation with tall columnar mucinous cells with mild, focal nuclear abnor - malities including nuclear crowding, hyperchromatism, and pseudostratification. What is the diagnosis?",A. Pancreatic adenocarcinoma,B. Squamous metaplasia of the pancreas,C. Pancreatic intraepithelial neoplasia (PanIN),D. Intraductal papillary mucinous neoplasm,E. Chronic pancreatitis,
Set_13: q6,Which of the following disease is associated with HLA DR 3 & 4?,A. Type 1-Juvenile onset diabetes mellitus,B. Type 2-adult onset diabetes mellitus,C. Diabetes insipidus,D. Syndrome of inappropriate antidiuretic hormone,E. Zollinger–Ellison syndrome,
Set_13: q7,"Hyperglycemia, anion gap metabolic acidosis, increased blood ketone levels, leukocytosis are seen in which of the following disease?",A. Diabetes insipidus,B. Syndrome of inappropriate antidiuretic hormone,C. Acute pancreatitis,D. Lactic acidosis,E. Diabetic ketoacidosis,
Set_13: q8,What is true about insulinoma?,A. β cell tumor,B. G cell tumor,C. α cell tumor,D. δ cell tumor,E. It is type of Vipoma,
Set_13: q9,"A middle-aged patient comes to the emergency depart - ment with symptoms of hyperglycemia, anemia, skin rash and confusion. What is the diagnosis?",A. Insulinoma,B. Gastrinoma,C. Glucagonoma,D. Somatostatinoma,E. Vipoma  106,
Set_13: q10, A 48-year-old woman presents with a 4 cm mass in the body of the pancreas. Histological examinations shows features of microcystic adenoma of the pancreas. This lesion is associated with which syndrome?,"A. Neurofibromatosis, type 2",B. Cowden syndrome,C. Gorlin syndrome,D. V on Hippe–Lindau syndrome,E. Tuberous sclerosis,
Set_13: q11, Autoimmune insulitis with progressive beta cell loss is the most common cause of which disease?,A. Type 2 diabetes mellitus,B. Diabetes insipidus,C. Carcinoid syndrome,D. Zollinger–Ellison syndrome,E. Type 1 diabetes mellitus,
Set_13: q12," A 5-year-old child presents with steatorrhea, failure to thrive, bulky, foul smelling oily stool. There is also his - tory of recurrent pneumonia. What is the diagnosis?",A. Primary ciliary dyskinesia,B. Cystic fibrosis,C. Shwachman diamond syndrome,D. Severe combined immunodeficiency,E. Alpha1 antitrypsin deficiency,
Set_13: q13," A male patient aged 75 years with a history of smoking, presents with symptoms of abdominal pain, obstructive jaundice. CT scan of abdomen shows a small mass in the head of the pancreas. What is the diagnosis?",A. Chronic pancreatitis,B. Lymphoma,C. Pancreatic carcinoma,D. Colonic neuroendocrine carcinoma,E. Duodenal adenocarcinoma,
Set_13: q14, Pancreatic islet amyloid deposition is seen in which of the following medical condition?,A. Type 1 diabetes mellitus,B. Diabetes insipidus,C. Carcinoid syndrome,D. Type 2 diabetes mellitus,E. Zollinger–Ellison syndrome,
Set_13: q15, Pancreatic pseudocysts are the potential complication of which of the following condition involving the pancreas?,A. Acute pancreatitis,B. Pancreatic adenocarcinoma,C. Pancreatic abscess,D. Insulinoma of pancreas,E. Gastrinoma of pancreas,
Set_13: q16," Hyperparathyroidism (e.g., hypercalcemia, constipation, kidney stones), pituitary tumors, and pancreatic endo - crine tumors (e.g., gastrinoma) are seen in which of the following condition?",A. Multiple endocrine neoplasia type 2A,B. Multiple endocrine neoplasia type 2B,C. V on Hippel–Lindau disease,D. Vipomas,E. Multiple endocrine neoplasia type 1,
Set_13: q17," A 40-year-old man presents with watery diarrhea, mid epigastric pain for the last 1 month. Upper endoscopy shows distal duodenal ulcerations. Laboratory findings show elevated basal serum gastrin levels. What is the diagnosis?",A. Antral G cell hyperplasia,B. Retained antrum syndrome,C. Autoimmune gastritis,D. Zollinger–Ellison syndrome,E. Enterochromaffin cell tumor,
Set_13: q18, Recurrent intractable peptic ulcer disease suggests an underlying:,A. Acinar cell carcinoma,B. Adenocarcinoma of the pancreas,C. Pancreatoblastoma,D. Poorly differentiated neuroendocrine carcinoma,E. Pancreatic neuroendocrine neoplasms (NENs),
Set_13: q19, Which of the following is correct regarding Hemoglobin A1c (HbA1c)?,A. Measures average blood sugar for the past 1 month,B. Measures average blood sugar for the past 3 months,C. Measures average blood sugar for the past 6 months,D. Measures average blood sugar for the past 12 months,E. Hemoglobin A1c has no relation with diabetes mellitus,
Set_13: q20, Relatively reduced insulin secretion and peripheral insu - lin resistance are the pathogenesis of which of the fol - lowing medical condition?,A. Adult onset diabetes mellitus,B. Diabetes insipidus,C. Syndrome of inappropriate antidiuretic hormone,D. Juvenile onset diabetes mellitus,E. Zollinger–Ellison syndrome,
Set_13: q21," A middle-aged man history of consuming regular alco - hol presents with epigastric pain, chronic diarrhea and weight loss. Abdominal X-ray is done which shows epi - gastric calcifications. What is the diagnosis?",A. Autoimmune pancreatitis,B. Pancreatic endocrine tumors,C. Lymphoma,D. Pancreatic adenocarcinoma,E. Chronic alcoholic pancreatitis,
Set_13: q22," A 2-year-old male child is drought to the pediatrician office for abdominal pain, vomiting, and yellow skin. On physical examination, the child is jaundiced and his abdomen is tender to palpation. Laboratory studies reveal elevated alpha-fetoprotein (AFP).What is the diagnosis?",A. Pancreatoblastoma,B. Hepatocellular carcinoma,C. Pancreatic intraepithelial neoplasia,D. Acinar cell carcinoma,E. Pancreatic cystadenoma13 Pancreas 107,
Set_14: q1,H&E microscopic picture of a 68-year-old man suffering from a chronic medical condition is shown below. What is the diagnosis?,A. IgA nephropathy,B. Lupus glomerulonephritis,C. Membranoproliferative glomerulonephritis (MPGN),D. Diabetic nephropathy,E. Amyloidosis,
Set_14: q2,A 6-year-old boy is brought to the pediatrician office due to puffy face. Physical examination shows marked perior - bital edema and pitting edema of both feet. Urinalysis show 4+ proteinuria. Laboratory findings show decreased serum albumin and increased cholesterol. The most likely cause of child’s disease is:,A. Membranous nephropathy,B. Minimal change disease,C. Poststreptococcal disease,D. IgA Nephropathy,E. Goodpasture’s syndrome,
Set_14: q3,An important factor for chronic pyelonephritis is:,A. Obstruction,B. Vesico-ureteral reflux,C. Pelvi-ureteric junction obstruction,D. Catheter induced,E. Hypertension,
Set_14: q4,"Paraneoplastic syndromes of RCC such as polycythemia, hypertension, hyperparathyroidism are sometimes the earliest manifestation of renal cell carcinoma. What is the cause of polycythemia?",A. Renin secretion,B. Parathyroid-like substance,C. Excess erythropoietin production,D. Hypercalcemia,E. Myeloproliferative disorders,
Set_14: q5,"Which of the following condition presents with charac - teristic triad of microangiopathic hemolytic anemia, thrombocytopenia, and acute kidney injury?",A. Hemolytic uremic syndrome,B. Systemic vasculitis,C. Henoch–Schonlein purpura,D. Thrombotic thrombocytopenic purpura,E. Disseminated intravascular coagulation,
Set_14: q6,"A 51-year-old man is brought to the emergency depart - ment with symptoms of severe headaches, vomiting, and visual disturbances. Physical examination shows blood pressure 220/150 mmHg. Which of the following renal pathology will be present in this patient?",A. Hyaline arteriolosclerosis,B. Hyperplastic arteriolosclerosis,C. Tubulointerstitial nephritis,D. Papillary necrosis,E. Chronic glomerulonephritis  112,
Set_14: q7,A 59-year-old male patient present with long standing hypertension. Physical examination shows blood pres - sure of 160/95 mmHg. Ultrasound examination shows small sized kidneys. Which of the following renal lesions is characteristic of this long standing hypertension?,A. Hyaline arteriosclerosis,B. Fibrinoid necrosis,C. Hyperplastic arteriosclerosis,D. Rapidly progressive glomerulonephritis,E. Acute tubular necrosis,
Set_14: q8,Which is the following is additional finding in V on Hippel–Lindau syndrome in addition to renal cell carcinoma?,A. Renal amyloidosis,B. Renal calculi,C. Renal cysts,D. Renal carcinoid tumors,E. Renal oncocytoma,
Set_14: q9,A 4-year-old child presents as a large abdominal mass. What is the diagnosis?,A. Renal cell carcinoma,B. Wilms tumor,C. Neuroblastoma,D. Renal sarcomas,E. Transitional cell carcinoma,
Set_14: q10," Which of the following condition is a common cause of recurrent kidney stones, hypercalcemia, and hypophosphatemia?",A. Hyperparathyroidism,B. Hyperthyroidism,C. Hypothyroidism,D. Gout,E. Vitamin D deficiency,
Set_14: q11, Which inheritance is found in polycystic kidney disease (PKD) in children?,A. Autosomal recessive,B. Autosomal dominance,C. X-linked dominant,D. X-linked recessive,E. Mutations in genes on the X chromosome,
Set_14: q12, Which of the following glomerulonephritis shows tram- track appearance?,A. Membranoproliferative glomerulonephritis (MPGN),B. Rapidly progressive glomerulonephritis (RPGN),C. Minimal change disease,D. Lupus nephritis,E. Membranous glomerulonephritis,
Set_14: q13, Gross presentation of a kidney tumor is shown below. What is the diagnosis?,A. Adenoma,B. Hypernephroma,C. Clear cell tubulopapillary carcinoma,D. Collecting duct carcinoma,E. Papillary oncocytoma,
Set_14: q14," A 49-year-old man presents with hematuria and hyper - tension. Laboratory findings show blood urea nitrogen of 45 mg/dL and serum creatinine of 5.8 mg/dL. Kidney biopsy is done and light microscopy shows hypercellular glomeruli, crescent formation in Bowman’s space. What is the diagnosis?",A. Rapidly progressive glomerulonephritis (RPGN),B. Lupus nephritis,C. IgA nephropathy (Berger’s disease),D. Membranous nephropathy,E. Nephrotic syndrome,
Set_14: q15, Unilateral small smooth kidney is seen in:,A. Reflux nephropathy,B. Lobar infarction,C. Renal artery stenosis,D. Chronic glomerulonephritis,E. Membranous glomerulopathy,
Set_14: q16, Which of the following organism causes recurrent uri - nary infections leading to staghorn calculus in the renal pelvis?,A. Klebsiella infection,B. Escherichia infection,C. Enterococcus faecalis,D. Staphylococcus saprophyticus,E. Streptococcus pyogenes14 Kidney 113,
Set_14: q17, Subendothelial electron-dense deposits within the glom - erulus is seen in:,A. MPGN type I,B. Crescentic glomerulonephritis,C. Dense deposit disease,D. IgA nephropathy,E. Minimal change disease,
Set_14: q18," A 10-year-old male child presents with pink color urine. Physical examination shows edema, hypertension. Laboratory findings showed proteinuria, red blood cell casts, and hypocomplementemia. Immunofluorescence shows diffuse granular pattern in the mesangium and glomerular capillary walls. Dome shaped subepithelial deposits are seen by electron microscope. What is the diagnosis?",A. Focal segmental glomerulosclerosis,B. Membranoproliferative glomerulonephritis,C. Membranous glomerulonephritis,D. Minimal change disease,E. Poststreptococcal glomerulonephritis,
Set_14: q19, Finnish type of congenital nephrotic syndrome is caused by defects in the following protein:,A. Alpha actinin,B. CD2 activated protein,C. Nephrin,D. ACTN4,E. Myosin-9,
Set_14: q20, H&E microscopic picture of renal pathology is shown below. What is the diagnosis?,A. Adenoma,B. Clear cell tubulopapillary carcinoma,C. Collecting duct carcinoma,D. Clear cell renal cell carcinoma,E. Papillary oncocytoma,
Set_14: q21, A 47-year-old male presents with decrease in urine out - put. The patient was prescribed injectable aminoglyco - sides for a severe ear infection. Lab findings show BUN 65 mg/dL and serum creatinine of 2 mg/dL. Which of the following conditions is most likely to account for his findings?,A. Acute tubular necrosis,B. Rapidly progressive glomerulonephritis,C. Papillary necrosis,D. Malignant nephrosclerosis,E. Goodpasture syndrome,
Set_14: q22," A 27-year-old IV drug abuser is brought to the hospital with symptoms of chills and fever. Laboratory findings show elevated BUN and serum creatinine. Urinalysis reveals microscopic hematuria, granular, and cellular casts. He later died and an autopsy is performed. The most likely diagnosis is:",A. IgA nephropathy,B. Viral hepatitis B,C. Goodpasture’s syndrome,D. Diffuse glomerulonephritis secondary to infectious endocarditis,E. AIDS,
Set_14: q23, A 32-year-old heroin addict develops nephrotic syn - drome. Renal biopsy shows focal deposition of hyaline masses in portions of affected glomeruli and increased mesangial matrix on light microscopy. The most likely diagnosis is:,A. Postinfectious glomerulonephritis,B. Rapidly progressive glomerulonephritis,C. Membranoproliferative glomerulonephritis,D. Berger’s disease,E. Focal segmental glomerulosclerosis,
Set_14: q24," A 30-year-old male presents with sore throat and pink/ brown urine. Kidney biopsy showed mesangial prolifer - ation, immunofluorescence shows mesangial deposits of Ig",A. What is the diagnosis?,A. Membranoproliferative glomerulonephritis (MPGN),B. lupus nephritis,C. IgA nephropathy (Berger’s disease),D. Membranous nephropathy,E. Nephrotic syndrome
Set_14: q25," A 45-year-old man with rheumatoid arthritis presents with nephrotic range proteinuria, severe edema. Laboratory findings show elevated BUN and serum cre - atinine. What is the diagnosis?",A. Membranous glomerulonephritis,B. Renal amyloidosis,C. Rapidly progressive glomerulonephritis,D. Acute tubular necrosis,E. Chronic glomerulonephritis,
Set_14: q26," A 25-year-old female presents with skin rashes, arthral - gia, and arthritis of knee joints. Laboratory findings show anemia, elevated BUN, and serum creatinine. Urinalysis shows proteinuria and red blood cells. Which of the fol - lowing condition is most likely to account for her findings? Multiple Choice Questions 114",A. Lupus nephritis,B. Chronic pyelonephritis,C. Amyloidosis,D. Renal papillary necrosis,E. Acute tubular necrosis,
Set_14: q27, What is the most common cause of nephrotic syndrome in adults?,A. Focal segmental glomerulosclerosis,B. Acute pyelonephritis,C. Minimal change disease,D. Chronic glomerulonephritis,E. Membranous glomerulonephritis,
Set_14: q28," Immunofluorescence microscopic picture showing lin - ear deposits along the glomerular basement membrane, is shown below. What is the diagnosis?",A. Rapidly progressive glomerulonephritis,B. Poststreptococcal glomerulonephritis,C. Membranoproliferative glomerulonephritis,D. Goodpasture syndrome,E. Membranous glomerulonephritis,
Set_14: q29," A 5-year-old child is brought by his mother to pediatri - cian office with symptoms of pink urine, hearing and vision problems. Urinalysis shows red blood cells. The most probable diagnosis is:",A. IgA nephropathy,B. Alport syndrome,C. Epstein syndrome,D. Thin GBM disease,E. Medullary cystic disease,
Set_15: q1,What is the best definition of Balanitis?,A. Inflammation of the glans penis,B. Ulcer of the glans penis,C. Infection of the glans penis,D. Abnormality of the glans penis,E. Abnormality in the curvature of the penis,
Set_15: q2,A 32-year-old man comes to the physician with a solid mass in his left testis. Ultrasound reveals partially necrotic mass. Patient has elevated alpha-fetoprotein (AFP) and human chorionic gonadotropin (hCG). Which of the following is the diagnosis?,A. Leydig cell tumor,B. Yolk sac tumor,C. Granulosa cell tumor,D. Nonseminomatous germ cell tumor,E. Sertoli cell tumor,
Set_15: q3,A 44-year-old male patient presents with symptoms of hematuria to his urologist. Cystoscopy is done which reveals a small tumor like lesion with gritty appearance. What is the diagnosis?,A. Squamous cell carcinoma of the bladder,B. Interstitial cystitis,C. Eosinophilic cystitis,D. Radiation cystitis,E. Schistosomiasis-related cystitis,
Set_15: q4,A 2-year-old boy was brought by his mother with a mass in the left testis. Serum level of alpha-fetoprotein (AFP) is elevated. What is the diagnosis?,A. Seminoma,B. Yolk sac tumor,C. Granulosa cell tumor,D. Teratoma,E. Sertoli cell tumor,
Set_15: q5,"A 30-year-old man with a large bulky mass comes to the physician office. Biopsy is done. Microscopic findings show polygonal germ cells with clear cytoplasm and round nuclei. Tumor cells are arranged in lobules, sepa - rated by fibrous septae. What is the diagnosis?",A. Seminoma,B. Leydig cell tumor,C. Granulosa cell tumor,D. Choriocarcinoma,E. Sertoli cell tumor,
Set_15: q6,"A 19-year-old boy comes to the physician office with a swollen, red scrotum on the right side. There is pain and tenderness in the testicle. There is also painful urination along with urgency and frequency. What is the diagnosis?",A. Epididymitis,B. Testicular torsion,C. Inguinal hernia,D. Testicular cancer,E. Testicular tumor,
Set_15: q7,"A 40-year-old man comes to the physician office with complaints of painless testicular mass, bilateral breast enlargement. Immunohisto-chemical stain is positive for inhibin and Ki-",,,,,,
Set_15: q8, What is the diagnosis?,A. Seminoma,B. Yolk sac tumor,C. Granulosa cell tumor,D. Leydig cell tumor,E. Sertoli cell tumor,
Set_15: q9,A 45-year-old man presents with painless slowly enlarg - ing testicular mass. He has also features of precocious masculinization. What is the diagnosis?,A. Seminoma,B. Yolk sac tumor,C. Granulosa cell tumor,D. Leydig cell tumor,E. Sertoli cell tumor,
Set_15: q10,"Sclerosing adenosis, a pseudo neoplastic lesion in the prostate gland that can mimic prostate cancer is most likely to occur in which zone:  122",A. Central zone,B. Peripheral zone,C. Anterior fibromuscular zone,D. Transition zone,E. None of the above,
Set_15: q11," A 69-year-old male presents with obstructive urinary systems. Transurethral resection biopsy of the prostate is done. Microscopic findings show marked prolifera - tion of round, smaller and crowded glands. What is the diagnosis?",A. Benign prostatic hyperplasia (BPH),B. Prostatic adenocarcinoma,C. Acute bacterial prostatitis and prostatic abscess,D. Invasive squamous cell carcinoma,E. Invasive urothelial carcinoma,
Set_15: q12, Which one of the following is NOT used as a tumor marker in testicular tumors?,A. Beta human chorionic gonadotropin (ß-hCG),B. Carcinoembryonic antigen (CEA),C. Alpha-fetoprotein (AFP),D. Lactate dehydrogenase (LDH),E. Placental alkaline phosphatase (PLAP),
Set_15: q13," A 40-year-old male patient with symptoms of polyuria, dysuria, hematuria, and abdominal pain. Cystoscopy done which shows a distensible bladder with ulceration and areas of pinpoint petechiae and ulceration. What is the diagnosis?",A. Interstitial cystitis,B. Schistosomal cystitis,C. Eosinophilic cystitis,D. Tuberculous cystitis,E. Follicular cystitis,
Set_15: q14," A 65-year-old male patient presents with urinary prob - lems. He complains of frequent or urgent need to uri - nate, increased frequency of urination at night, difficulty starting urination, weak urine stream, dribbling at the end of urination, inability to completely empty the blad - der. What is the diagnosis?",A. Prostate cancer,B. Cystitis,C. Prostatitis,D. Carcinoma of the bladder,E. Benign prostatic hyperplasia,
Set_15: q15," A 30-year-old male comes to the physician office with small, flesh-colored/gray swellings in genital area. He also complained of itching and discomfort in genital area. Physical examination shows several warts close together taking a cauliflower like shape. What is the diagnosis?",A. Molluscum contagiosum,B. Condyloma lata,C. Condyloma acuminatum,D. Familial benign pemphigus,E. Keratosis follicularis,
Set_15: q16, Which of the following conditions in penis is associated with human papillomavirus infection?,A. Epididymitis,B. Squamous cell carcinoma of penis,C. Orchitis,D. Varicocele,E. Peyronie’s disease,
Set_15: q17, Which of the following primary testicular neoplasm are NOT considered to be a teratoma?,A. Yolk sac tumors,B. Embryonal carcinomas,C. Choriocarcinomas,D. Diffuse embryoma,E. Teratomas,
Set_15: q18," A 20-year-old man comes to the physician’s office for a regular checkup. On physical examination, no testis is palpable in the left scrotum. Which of the following complications this patient can have in the future?",A. Carcinoma,B. Varicocele,C. Tuberculosis,D. Prostatitis,E. Gynecomastia,
Set_15: q19," A 38-year-old man comes to the physician office with painless swelling of the left scrotum for the last 11 months. He also complains of discomfort, and feel - ing of heaviness in the left scrotum. Physical examina - tion shows swollen scrotum and the transillumination test result is positive. What is the diagnosis?",A. Spermatocele,B. Varicocele,C. Hematocele,D. Hydrocele,E. Testicular tumor,
Set_15: q20," A 15-year-old teenager presents with symptoms of inability to urinate and empty the bladder properly. He also complaints of redness, soreness, and swelling on foreskin. Physical examination shows narrowing of the opening of the foreskin and it cannot be retracted. What is the diagnosis?",A. Epispadias,B. Hypospadias,C. Phimosis,D. Balanitis,E. Cellulitis,
Set_15: q21, Embryonal carcinomas are germ cell tumors of the tes - tis. Which of the following staining profile is typical immunophenotype for embryonal carcinomas?,A. PLAP(+); CK(+); EMA( −); CD30(+),B. PLAP(+); CK (+); EMA (+); CD30 (+)15 Male Genital Tract 123,C. PLAP( −); CK( −); EMA (+); CD30( −),D. PLAP( −); CK (+); EMA ( −); CD30(+),E. PLAP(+); CK (+); EMA ( −); CD 30( −),
