Question,A,B,C,D,E,F
Viral Parotitis is caused by which organism?,Herpes simplex,Parvovirus B19,Adenovirus,Paramyxovirus,Papillomavirus,
Which of the following is the most common salivary gland neoplasm?,Pleomorphic adenoma,Adenoid cystic carcinoma,Warthin tumor,Oncocytoma,Basal cell adenoma,
"A 49-year-old man presents with a neck mass involving the right submandibular gland. Biopsy of the mass shows interlobular fibrosis, periductal fibrosis with lymphoplas - macytic proliferation. What is the diagnosis?",Chronic sclerosing sialadenitis,Pleomorphic adenoma,Adenoid cystic carcinoma,Mucoepidermoid carcinoma,Nodular sclerosis Hodgkin lymphoma,
A 42-years-old female presents with symptoms of hypothyroidism. Biopsy shows diffuse lymphoid infil - trate with germinal center formation. What is the diagnosis?,Hashimoto’s thyroiditis,Graves’ disease,Subacute thyroiditis,Papillary carcinoma of thyroid,Follicular thyroid carcinoma,
Diagram of a 35-year-old male patient with white lesions on the mucosa of the floor of the mouth is shown below. Patient smoked one pack of cigarettes per day for the last 15 years. What is the diagnosis?  78,Frictional keratosis,Candidiasis,Leukoplakia,Lichen planus,White sponge nevus,
"A 21-year-old man presented with a 2 months history of swelling in his lower right back teeth region. On intra - oral examination, a solitary well-defined oval-shaped erythematous mass was noticed in the right retromolar area. Biopsy of the mass is done. H&E microscopic pic - ture is shown below. What is the diagnosis?",Mucoepidermoid carcinoma,Acinic cell carcinoma,Squamous cell carcinoma,Pleomorphic adenoma,Mucoepidermoid carcinoma,
"Fine needle aspiration of a painless cystic mass in the midline neck region shows degenerative debris. This debris is admixed with mature squamous epithelium, colloid cells, hemosiderin laden macrophages, and lym - phocytes. What is the diagnosis?",Thyroglossal duct cyst,Epidermoid cyst,Branchial cyst,Squamous cell carcinoma,Metastatic thyroid carcinoma,
A 12-year-old male boy is evaluated by an otolaryngolo - gist for chronic nasal obstruction and purulent rhinor - rhea for the last couple of months. Nasal endoscopy demonstrates a large multi-lobulated polyp herniating into the right vestibule. CT scan shows a large mass fill - ing the right nasal cavity with post-obstructive pansinus - itis and destructive invasion of bone by tumor cells. What is the diagnosis?,Rhabdomyosarcoma,Lymphoproliferative disorders,Nevoid basal cell carcinoma,Non-Hodgkin lymphoma,Olfactory neuroblastoma,
A 13-year-old male presents with a 1.5 cm mass in the anterolateral neck. His mother states that she noticed the mass when the patient had a growth spurt. There is no change in the mass. Resection is done. Microscopic examination shows cells overly a stroma with a dense polymorphic lymphocytic infiltrate. What is the diagnosis?,Thyroglossal duct cyst,Hodgkin lymphoma,Marginal zone lymphoma,Mantle cell lymphoma,Branchial cleft cyst,
"A 62-year-old male, heavy smoker, presents with a large mass in the oral cavity. Physical examination shows large fungating mass in the oral cavity. Biopsies are taken and histology shows elongated fronds of surface growth with marked keratosis. Photograph of the oral cavity and microscopic picture are shown below. What is the  diagnosis? 10 Head and Neck 79",Squamous cell carcinoma,Verrucous carcinoma,Mucoepidermoid carcinoma,Low-grade adenocarcinoma,Adenoid cystic carcinoma,
A 45-year-old male presents with small 4  cm right parotid mass. Histological features are composed of prominent layer of the basal cells arranged in a trabecu - lar pattern. What is the diagnosis?,Warthin tumor,Mucoepidermoid carcinoma,Sebaceous hyperplasia,Adenoid cystic carcinoma,Basal cell adenoma,
A 58-year-old female presents with a firm mass in the neck. Biopsies show massive fibrotic tissue with few entrapped thyroid follicles. What is the diagnosis?,Thyroid lymphoma,Papillary carcinoma of thyroid,Follicular carcinoma of thyroid,Fibrosing thyroiditis,Thyroid adenoma,
There are different kinds of thyroid cancers. Which of the following thyroid cancer is characterized by Orphan Annie eye nuclei?,Papillary thyroid carcinoma,Follicular thyroid carcinoma,Hurthle cell carcinoma,Medullary thyroid carcinoma,Anaplastic thyroid carcinoma,
A mass is removed from the middle ear of a 44-year-old man. What is the diagnosis?,Cholesteatoma,Squamous cell carcinoma,Adenoma of the middle ear,Cholesterol granuloma,Dermoid cyst,
"A 51-year-old man presents with facial palsy and a parotid mass undergoes a resection. Biopsy of the mass shows tumor cells in cribriform, tubular, and solid pat - terns. What is the diagnosis?",Acinic cell carcinoma,Warthin tumor,Adenoid cystic carcinoma,Salivary duct carcinoma,Mucoepidermoid carcinoma,
Which of the following is the most common site of ori - gin of minor salivary gland neoplasm?,Esophagus,Bronchi,Oral cavity including palate,Nasal cavity,Trachea,
A 50-year-old woman presents with difficulty breathing. Physical examination shows nasal obstruction. A biopsy shows large vacuolated cells and plasma cells. PAS and Gram stain reveals Gram-negative coccobacilli. What is the diagnosis?,Wegner’s granulomatosis,Tuberculosis,Myospherulosis,Rhinoscleroma,Rhinosporidiosis,
A 27-year-old male with a history of Hodgkin lym - phoma which is now in remission presents with lymph - adenopathy in the neck. What is the diagnosis?,Reactive histiocytes,Recurrent/Persistent Hodgkin lymphoma,Anaplastic large cell lymphoma,Follicular lymphoma,Non-Hodgkin lymphoma,
,,,,,,
The incidence and prevalence of regional enteritis are steadily increasing. Common site of regional enteritis is:,Rectum,Colon,Caecum,Distal ileum and colon,Distal ileum,
Which of the following diseases is associated with Helicobacter pylori  infection?,Esophagitis,Diverticulitis,Inflammatory bowel disease,Duodenal peptic ulcer,Celiac disease,
Which of the following gastric neoplasm typically occurs at the junction of pyloric and corpus mucosa?,Gastric adenoma,Gastric xanthoma,Gastric hyperplastic polyps,Hamartomatous polyp,Gastric carcinoid,
"A 48-year-old male with HIV presents with profuse, watery diarrhea of 7  days duration. What is the most likely cause of this patient’s symptoms?",Giardia,Cryptosporidium,Entamoeba histolytica,Toxoplasma,Histoplasma,
"A 25-year-old man presents to a rheumatologist with complaints of joint pain involving the large joints of the legs. On questioning, the patient indicates that exacerba - tions in the joint pain are frequently accompanied by diarrhea. Which of the following gastrointestinal disease is most likely to be implicated as the cause of the patient’s joint problems?",Amebic colitis,Chronic appendicitis,Diverticulosis,Pseudomembranous colitis,Ulcerative colitis,
"A 54-year-old man presents with abdominal pain, fever, and profuse diarrhea. There is a history of recent hospitalization where he was given clindamycin. What is the diagnosis?",Ischemic colitis,Diversion colitis,Clostridium difficile colitis,Irritable bowel syndrome,Viral gastroenteritis,
A biopsy of the GE junction is performed in a 60-year- old male. Biopsy shows Barrett’s esophagus. The patient has an increased risk of which of the following disease?,Adenocarcinoma,Squamous cell carcinoma,Leiomyoma,Adenosquamous carcinoma,Mucoepidermoid carcinoma,
"Which of the following disease is the most likely life - time risk of colon cancer, if left untreated?",Ulcerative colitis,Familial juvenile polyposis,Familial adenomatous polyposis,Crohn disease,Cowden disease,
Gastrin-secreting tumors and elevated gastrin levels are characteristic findings of which of the following disease?,Antral G cell hyperplasia,Zollinger–Ellison syndrome,Gastric antrum syndrome,Retained antrum syndrome,Menetrier disease,
"A 60-year-old woman presents to the emergency room with a 5 days of passing maroon, tarry stools. Endoscopy  86 is performed and shows thickening of the mucosal folds, irregular nodularity producing a cobblestone effect and ulceration. What is the diagnosis?",Extranodal lymphoma,MALToma,Diffuse large cell lymphoma,Gastric lymphoma,Non-Hodgkin lymphoma,
"A 65-year-old man complains of abdominal pain, thin caliber stools, and fatigue. His hematocrit is 32% and hemoglobin 9 g/dL. He underwent exploratory laparot - omy and a 14  cm segment of his sigmoid colon is removed. What is the diagnosis?",Diverticulitis with perforation,Ulcerative colitis,Intussusception,Crohn’s disease,Colorectal adenocarcinoma,
"A 3-year-old child is brought to the emergency room by her parents for 3  weeks of abdominal pain, vomiting, and weight loss. Pain is most severe after eating. On examination, the child appears well, until after she ingests some crackers. At this point, child cries inconsol - ably and grabs her abdomen. Esophageal pH monitoring reveals an abnormally high pH of gastric secretions. What is the diagnosis?",Inflammatory bowel disease,Malabsorption,Collagenous and lymphocytic colitis,Menetrier disease,Viral enteritis,
"A 52-year-old woman is undergoing endoscopy to eval - uate persistent gastrointestinal reflux. In the stomach, there is a solitary, well-circumscribed fleshy mass cov - ered with intact mucosa. Further studies show mutation in a gene that encodes tyrosine kinase c-KiT. What is the diagnosis?",Adenocarcinoma,Lymphoma,Epithelioid hemangioendothelioma,Gastrointestinal stromal tumor,Leiomyoma,
A 2-week-old infant with Down syndrome presents with distended abdomen and history of no stools. Bowel sounds are absent. Abdominal X-rays shows megacolon. A sigmoid colon biopsy shows lack of mural ganglion cells. What is the most likely diagnosis?,Congenital pyloric stenosis,Chagas disease,Hirschsprung’s disease,Cystic fibrosis,Rectal atresia,
"A 24-month-old girl presents with abdominal pain, diar - rhea, vomiting, and weight loss. Duodenal biopsy reveals crypt hyperplasia, villous atrophy, and intraepithelial lymphocyte infiltration. What is the diagnosis?",Intussusception,Celiac disease,Hirschsprung’s disease,Incarcerated hernia,V olvulus of bowel,
A 40-year-old man comes to the physician office with severe upper abdominal pain. Upper gastrointestinal endoscopy reveals a small ulcer with a clean base in the duodenal bulb. Biopsy of which part of the stomach would demonstrate the infectious agent?,Gastric fundus,Gastric cardia,Pylorus,Gastric antrum,Body of the stomach,
Which is a complication of long-standing GERD (gas - troesophageal reflux disease) and is characterized by columnar metaplasia of the squamous epithelium that normally lines the esophagus?,Barrett esophagus,Leiomyoma,Squamous papilloma,Lipoma,Adenocarcinoma,
"A patient presents with diarrhea, cutaneous flushing, bronchospasm, and wheezing. Urine levels of 5-HIAA (5-hydroxyindoleacetic acid) is increased. What is the diagnosis?",Peutz–Jeghers syndrome,Turcot’s syndrome,Carcinoid tumor,Gardner’s syndrome,Familial adenomatous polyposis (FAP),
Which type of gastrointestinal disease is associated with pernicious anemia?,Acute hemorrhagic gastritis,Gastric cancer,Gastroesophageal reflux disease,Chronic atrophic gastritis,Chronic peptic ulcer,
Left supraclavicular adenopathy and Krukenberg’s tumor are usually found in which of the following disease?,Esophageal cancer,Gastric carcinoma,Malignant neoplasms of the small intestine,Non-Hodgkin lymphoma,Colonic adenocarcinoma11 Gastrointestinal Tract 87,
"Four cardinal manifestations—arthralgias, diarrhea, abdominal pain, and weight loss are found in which of the following medical condition?",Abdominal angina,Celiac disease (Sprue),Malabsorption,Whipple disease,Tropical sprue,
Failure of the lower esophageal sphincter to relax with swallowing is called as:,Achalasia,Gastroesophageal reflux disease,Pseudoachalasia,Esophageal spasm,Jackhammer (nutcracker) esophagus,
A 55-year-old male presented with a 6-month history of iron-deficiency anemia. Esophagogastroduodenoscopy (EGD) and colonoscopy were performed. Colonoscopy revealed a left sided polypoid colonic mass. Which of the following statements is most accurate regarding this kind of tumor?,Associated with carcinoid tumors,Most often presents in the left colon,Most patients have favorable prognosis,Associated with an overlying adenoma,Most cases are positive for TTF-1,
Which esophageal carcinoma presents mostly in the proximal-two third of the esophagus and frequently metastasizes to mediastinal lymph nodes?,Adenocarcinoma,Gastrointestinal stromal tumors,Squamous cell carcinoma,Leiomyosarcoma,Barrett esophagus,
Which is true for sessile serrated (SSA) polyp?,Usually less than 1 mm in size,More common in the left colon,Always have cytological features of at least low- grade dysplasia,Commonly have a high prevalence of KRAS mutations,Associated with increased risk for colon cancer,
Which of the following bacterial infections can histo - logically mimic ischemic colitis?,Enteroadherent Escherichia coli,Salmonella typhimurium,Clostridium difficile,Vibrio cholerae,Yersinia pseudotuberculosis,
,,,,,,
"A middle-aged alcoholic man presents in the emergency department with nose bleed. Examination shows dis - tended paraumbilical veins, ascites, and a flapping hand tremor on wrist extension. Which laboratory finding is the best indicator of poor prognosis in this alcoholic patient?",Elevated level of serum glutamic oxaloacetic trans - aminase (SGOT),Elevated level of serum glutamic pyruvic transami - nase (SGPT),Prolonged prothrombin time,Elevated level of gamma-glutamyl transferase (GGT),Elevated level of alkaline phosphatase,
Which of the following drug causes hepatocellular necrosis with inflammation?,Acetaminophen,Diclofenac sodium,Ibuprofen,Acetylsalicylic acid,Sucralfate,
"A 10-year-old male child comes to the pediatrician office with symptoms of yellow appearance of the skin and sclera, foul-smelling, pale stools, poor weight gain, enlarged abdomen, loss of appetite. His father died of liver cirrhosis. Physical examination shows hepatomeg - aly. What is the diagnosis?",Chronic viral hepatitis,Alpha-1 antitrypsin deficiency,Gilbert’s syndrome,Crigler–Najjar syndrome,Dubin–Johnson syndrome,
LDH 5 is found in which of the following organ?,Kidney,Heart,Liver,Prostate,Brain,
"A 45-year-old woman presents with symptoms of pruritus, fatigue, right upper quadrant pain, recurrent cholangitis, and symptoms of portal hypertension. Laboratory findings show elevated alkaline phosphatase. Cholangiogram shows evidence of characteristic bile duct changes (multifocal strictures, segmental dilations). What is the diagnosis?",Primary sclerosing cholangitis (PSC),Abdominal vascular Injuries,Acalculous cholecystitis,Autoimmune hepatitis,Cholangiocarcinoma,
Gross picture of a specimen is shown below. What is the diagnosis?,Hemochromatosis,Metastatic liver disease,Fatty metamorphosis,Micronodular cirrhosis,Metabolic liver disease  94,
A 50-year-old woman presents with increasing abdomi - nal girth and enlarging liver. Laboratory findings show elevated Alpha-fetoprotein in the serum. What is the diagnosis?,Serous papillary cystadenocarcinoma,Metastatic gastric adenocarcinoma,Hepatocellular carcinoma,Pancreatic carcinoma,Endometrial carcinoma,
"What would be expected to be seen microscopically in a liver biopsy from a patient with typical acute hepatitis, if the biopsy was taken during the icteric phase?",No pathologic changes,"Mononuclear inflammatory cells, ground glass hepa - tocytes and bridging necrosis","Mononuclear inflammatory cells, swollen hepato - cytes, and bile plugs in canaliculi","Mononuclear inflammatory cells, especially a prom - inent Kupffer cell reaction",Mononuclear inflammatory cells and piecemeal necrosis,
"A 52-year-old woman with a history of autoimmune thy - roid disease (Hashimoto’s thyroiditis) presents with severe pruritus, especially at night. Laboratory investi - gations show elevated alkaline phosphatase. What is the diagnosis?",Alcoholic hepatitis,Hemochromatosis,Primary biliary cholangitis,Hepatitis C,Hepatitis A,
Distant organ metastases in esophageal cancer is com - mon in which of the following organ?,Liver,Lung,Bone,Brain,Breast,
"A middle aged man with a history of abdominal swelling and pain, swelling in the legs and ankles, chronic fatigue, nausea, and vomiting. Histological picture is shown below. What is the diagnosis?",Chronic viral hepatitis,Metabolic liver disease,Alcoholic fatty liver,Hemochromatosis,Hepatocellular carcinoma,
Gross pictures of liver of middle aged male are shown below. What is the diagnosis? 12 Liver and Biliary Tract 95,Cirrhosis of liver,Hemangioma of liver,Cholangiocarcinoma of liver,Angiosarcoma of liver,Metastatic tumors to the liver,
Which of the following hepatitis viruses are responsible for hepatocellular carcinoma?,Hepatitis A (HA V),Hepatitis B (HBV),Hepatitis C (HCV),Hepatitis D (HDV),Hepatitis B (HBV) and Hepatitis C (HCV),
Which of the following virus that replicates only in HBV-infected cells?,Hepatitis A,Hepatitis C,Hepatitis D (Delta agent),Hepatitis E,Epstein-Barr,
"A 40-year-old female patient comes to the physician office with symptoms of fever, nausea, vomiting, pain in the upper right side of the abdomen. Physical examina - tion shows right upper quadrant tenderness on palpation. Laboratory investigations showed leukocytosis. What is the diagnosis?",Acute cholecystitis,Chronic cholecystitis,Ascending cholangitis,Acute pancreatitis,Chronic pancreatitis,
Microscopic findings of chronic inflammation and Rokitansky–Aschoff sinuses are found in which of the following medical conditions?,Acute cholecystitis,Chronic cholecystitis,Ascending cholangitis,Acute pancreatitis,Chronic pancreatitis,
A 30-year-old woman presents with sudden onset of severe abdominal pain. She is using oral contraceptives regularly. Ultrasound of abdomen shows a small hepatic mass. What is the diagnosis?,Focal nodular hyperplasia,Hepatic adenoma,Nodular regenerative hyperplasia,Adenomatous hyperplasia,Cavernous hemangioma,
Strawberry gallbladder is found in which of the follow - ing medical conditions?,Cholesterolosis,Hydrops of the gallbladder mucocele,Ascending cholangitis,Gallbladder cancer,Bile duct cancer,
Carcinoma of the intrahepatic bile ducts is found in which of the following medical conditions?,Bile duct carcinoma,Cholangiocarcinoma,Klatskin’s tumor,Gallbladder cancer,Hepatocellular carcinoma,
Which parasite causes amoebic liver abscess?,Entamoeba histolytica,Hookworm (Necator americanus),Roundworm (Ascaris lumbricoides),Schistosoma mansoni,Taenia solium,
Which of the following is the most common benign liver tumor?,Cavernous hemangioma,Hepatoblastoma,Choledochal cyst,Hepatic adenomas,Focal nodular hyperplasia,
Which is the commonest type of gallbladder cancer?,Squamous cell carcinoma of gallbladder,Adenosquamous carcinoma of gallbladder,Adenocarcinoma of gallbladder,Small cell carcinoma of gallbladder,Lymphoma,
Industrial exposure to polyvinyl chloride is associated with which kind of liver cancer?,Hepatocellular carcinoma,Angiosarcoma of the liver,Hepatic metastases,Hepatoblastoma,Cholangiocarcinoma,
Transient unconjugated hyperbilirubinemia due to the immaturity of the liver is defined as which of the follow - ing medical conditions?,Hereditary hyperbilirubinemias,Biliary tract obstruction,Choledochal cyst,Physiologic jaundice of the newborn,Nonimmune hemolytic anemia,
"A middle-aged man presents to the emergency depart - ment after an episode of vomiting of large volume of blood. There is also history of spiking fevers, chills, bloody, and tarry stools. Physical examination shows tender liver. Endoscopy shows bleeding esophageal vari - ces. What is the diagnosis?",Portal vein thrombosis,Granulomatous hepatitis,Hepatoportal sclerosis Multiple Choice Questions 96,Primary biliary cirrhosis,Budd–Chiari syndrome,
"A 22-year-old male comes to the physician office with symptoms of mild jaundice after fasting for 3 days. He has similar episodes in the past. Laboratory findings show total bilirubin 2.7  mg/dL, while liver enzymes (SGOT, SGPT) are within normal limits. What is the diagnosis?",Gilbert syndrome,Crigler–Najjar syndrome,Dubin–Johnson syndrome,Acetaminophen ingestion,Acute alcoholic hepatitis,
Which is a common complication of chronic cholecysti - tis with porcelain gallbladder?,Squamous cell carcinoma,Adenosquamous carcinoma,Cholangiocarcinoma,Gallbladder adenocarcinoma,Lymphoma of gallbladder,
SGOT (AST) SGPT (ALT) ratio greater than 1.5 is found in which of the following medical conditions?,Chronic pancreatitis,Alcoholic hepatitis,Hepatitis B,Hepatitis C,Hepatitis A virus infection,
"A 36-year-old male patient comes to the physician office with symptoms of abdominal pain, ascites, and liver enlargement. What is the diagnosis?",Alpha1-antitrypsin deficiency,Granulomatous liver disease,Cirrhosis,Budd–Chiari syndrome,Infectious hepatitis,
"A 35-year-old female presents with abdominal pain and weight loss over the last 6 months. On physical examina - tion, the patient has scleral icterus, hepatomegaly, and a palpable hepatic mass. Imaging studies show a central scar in the left lobe with calcifications. Biopsy is done and shows large polygonal cells with abundant granular, eosinophilic cytoplasm separated into nests by hyalin - ized bands of acellular collagen. What is the diagnosis?",Angiosarcoma of liver,Neuroendocrine hepatic neoplasm,Metastatic carcinoma of liver,Fibrolamellar hepatocellular carcinoma,Classic hepatocellular carcinoma,
"A 29-year-old man has used illicit intravenous drugs in the past. He comes to the clinic with complaints of fatigue and weight loss. He drinks regularly. A liver biopsy is obtained, and light microscopy shows ground glass hepatocytes. Which of the following is the most likely diagnosis in this patient?",Hepatitis A infection,Cirrhosis of liver,Chronic hepatitis,Hepatitis B infection,Hepatitis C infection,
Microscopic picture of a liver biopsy is shown below. What is the diagnosis?,Councilman body,Concentric fibrosis around bile ducts,Segmental stenosis of bile ducts,Beaded appearance of bile ducts,Mallory body,
The bile duct neoplasm cholangiocarcinoma is an impor - tant complication of which of the following disease?,Autoimmune hepatitis,Primary sclerosing cholangitis (PSC),Chronic hepatitis C,Chronic hepatitis B,Primary biliary cirrhosis (PBC),
A 3-year-old boy presents with a liver mass. Alpha- fetoprotein (AFP) is elevated in the serum. This tumor is associated with Beckwith–Wiedemann syndrome. What is the diagnosis?,Hepatocellular carcinoma,Hepatoblastoma,Primary hepatic carcinoma,Fibrolamellar carcinoma,Hepatic adenoma,
Which serological markers are positive in people who have been vaccinated for Hepatitis B?,HBsAg,Anti HBs,HBcAG,Anti HBc,Anti-HBe12 Liver and Biliary Tract 97,
Mallory bodies are characteristic of which of the follow - ing condition?,Alcoholic hepatitis,Autoimmune hepatitis,Primary biliary cirrhosis,Wilson disease,Hemochromatosis,
A 49-year-old woman has multiple nodular lesions rang - ing from a few millimeters to several centimeters in size in the liver on CT imaging. Biopsy of a mass shows mul - tiple areas of fibrotic lesions. The tumor cells are elon - gated and cytoplasms are vacuolated. What is the diagnosis?,Leiomyosarcoma,Cholangiocarcinoma,Angiosarcoma,Epithelioid hemangioendothelioma,Adenocarcinoma,
